Index,X,Graphic Profile 1
0,0,492.799987793
1,1.68558373044,492.497406006
2,1.82657836916,492.490386963
3,1.9772269594,492.484527588
4,3.780860038,492.409362793
5,5.37838973348,492.320373535
6,7.91705366084,492.178955078
7,12.5757676835,491.919433594
8,23.9140588457,491.287811279
9,92.6738851004,487.457489014
10,150.988357837,484.081695557
11,158.740274699,483.77722168
12,159.581975287,483.753845215
13,160.407925821,483.730895996
14,161.21856444,483.708374023
15,162.014312915,483.686279297
16,162.795577825,483.664581299
17,164.298142438,483.62197876
18,165.015861696,483.600799561
19,165.724287968,483.57989502
20,166.423600564,483.559265137
21,167.113892366,483.538238525
22,167.795328096,483.516265869
23,168.468133064,483.494781494
24,169.132262092,483.474060059
25,169.788296918,483.453613281
26,170.436384611,483.433441162
27,170.664374056,483.426422119
28,171.30668952,483.406402588
29,171.540732464,483.399230957
30,172.17724401,483.379394531
31,172.41737441,483.372039795
32,173.048049996,483.352386475
33,173.294302119,483.344818115
34,173.918038783,483.325073242
35,174.530476526,483.304229736
36,174.783647139,483.296478271
37,175.391104411,483.265869141
38,175.649557272,483.257995605
39,176.252039617,483.215118408
40,176.848903177,483.172698975
41,177.110873565,483.164520264
42,177.703120107,483.122497559
43,178.28985459,483.080871582
44,178.556616265,483.072540283
45,179.138891832,483.031341553
46,179.410225578,483.022918701
47,179.987151106,482.98260498
48,180.556834281,482.944091797
49,180.832582393,482.935699463
50,181.398681063,482.897491455
51,181.678158882,482.88873291
52,182.240654863,482.850799561
53,182.523898076,482.841369629
54,183.082779791,482.80380249
55,183.36974649,482.794342041
56,183.92499292,482.757080078
57,184.215656817,482.747802734
58,184.767130226,482.717590332
59,185.061607392,482.708251953
60,185.609342262,482.679992676
61,185.907668868,482.670562744
62,186.451662869,482.642578125
63,186.753865707,482.633056641
64,187.060159696,482.623382568
65,187.602133103,482.601959229
66,187.912834488,482.592163086
67,188.451110117,482.572814941
68,188.76599536,482.562744141
69,189.299893012,482.543548584
70,189.829090566,482.524536133
71,190.147401622,482.513519287
72,190.672533629,482.494659424
73,190.995037566,482.477233887
74,191.516122396,482.458465576
75,191.842819653,482.432739258
76,192.359884362,482.414031982
77,192.690669884,482.387878418
78,193.203706466,482.369232178
79,193.538588371,482.342681885
80,193.877106822,482.315887451
81,194.387644187,482.311187744
82,194.730761101,482.283874512
83,195.238006329,482.278808594
84,195.585403229,482.251220703
85,196.087903453,482.246032715
86,196.584512825,482.240875244
87,196.936109814,482.213470459
88,197.42841424,482.2081604
89,197.784294859,482.180358887
90,198.272310724,482.17489624
91,198.632458647,482.14666748
92,199.116202315,482.141082764
93,199.480601325,482.112426758
94,199.96008903,482.106689453
95,200.32872294,482.077575684
96,200.80397091,482.071716309
97,201.176756693,482.047485352
98,201.647276822,482.042572021
99,202.024143766,482.019378662
100,202.490049022,482.016143799
101,202.870883907,481.992614746
102,203.332718471,481.99206543
103,203.718805627,481.971954346
104,204.176387346,481.971282959
105,204.567145838,481.952056885
106,205.02039555,481.951293945
107,205.415524482,481.931732178
108,205.864445127,481.930847168
109,206.263941619,481.910980225
110,206.70853589,481.910003662
111,207.112397091,481.889831543
112,207.552667946,481.88873291
113,207.960890941,481.868225098
114,208.396841155,481.86706543
115,208.809423054,481.846252441
116,209.226114589,481.82522583
117,209.659585929,481.821960449
118,210.082112443,481.814025879
119,210.510983447,481.80581665
120,210.941877979,481.800048828
121,211.376625117,481.791717529
122,211.801629307,481.785980225
123,212.24224174,481.777526855
124,212.661366516,481.771850586
125,213.107833458,481.763244629
126,213.521153502,481.757171631
127,213.97341169,481.748443604
