Index,X,Graphic Profile 1
0,0,492.799987793
1,23.6858271126,483.909454346
2,27.4794116217,481.894744873
3,32.3888000879,479.778411865
4,36.6909142225,477.473571777
5,43.2068908563,474.850952148
6,49.4193804162,472.281524658
7,74.3704757627,463.313293457
8,75.0133624872,463.076416016
9,76.1483071423,462.756591797
10,77.0613640201,462.805145264
11,82.3584475219,462.779876709
12,82.4157372148,462.779907227
13,82.5415686419,462.780487061
14,90.1320452438,462.847503662
15,94.502662,462.770111084
16,97.7651915782,462.720947266
17,104.788803504,462.502868652
18,105.331317907,462.486907959
19,106.997900775,462.506713867
20,112.858001423,462.573059082
21,114.336398528,462.512908936
22,120.357827579,462.25994873
23,123.103180478,462.24810791
24,127.834073219,462.220947266
25,131.647010192,462.187011719
26,135.299924149,462.14666748
27,139.837554531,461.99230957
28,142.768639022,461.883483887
29,147.775533546,461.234130859
30,150.242399246,460.893249512
31,155.667433051,460.712585449
32,157.701968958,460.637939453
33,163.42168431,461.303314209
34,165.186472322,461.519561768
35,171.017836817,461.937774658
36,172.692053731,462.067687988
37,178.589239101,461.929473877
38,180.207454484,461.890350342
39,186.052318812,461.327514648
40,187.755181111,461.148498535
41,193.313884655,461.237426758
42,195.366077207,461.260620117
43,200.464539538,462.237701416
44,203.023905645,462.756286621
45,207.538555707,463.465515137
46,210.741621549,464.000854492
47,214.573612413,464.227050781
48,218.484742582,464.469909668
49,221.572258885,464.346679688
50,226.302379919,464.137329102
51,228.547321029,463.643463135
52,234.137249354,462.318450928
53,235.546292624,461.997192383
54,242.051992168,460.405426025
55,242.493643485,460.371551514
56,245.849212873,460.091674805
57,249.487955601,459.791046143
58,249.983688079,459.746856689
59,256.475037852,460.307159424
60,257.957943477,460.441345215
61,263.48899524,461.908111572
62,265.960311131,462.603393555
63,270.599683495,463.28918457
64,273.924014936,463.81149292
65,277.707762694,463.921813965
66,282.013455638,464.059112549
67,284.885145215,463.960571289
68,289.913918128,463.784973145
69,292.243930915,463.412139893
70,297.854906816,462.466308594
71,299.598849211,461.997070313
72,305.81747317,460.224212646
73,306.976464943,460.165679932
74,313.779651604,459.781463623
75,314.410343361,459.814819336
76,321.547557472,460.226074219
77,322.058173312,460.308898926
78,329.330866292,461.580383301
79,329.696177333,461.650909424
80,337.152886866,463.199279785
81,337.30920521,463.210113525
82,344.860193097,463.784545898
83,344.95306568,463.791564941
84,344.954772046,463.791778564
85,344.956215332,463.791809082
86,352.67359443,464.083709717
87,352.686839627,464.084350586
88,353.236666985,463.962188721
89,360.297209428,462.40423584
90,360.486807774,462.362213135
91,367.954764652,460.628479004
92,368.262306268,460.64855957
93,375.532104853,461.170562744
94,376.091288927,461.284637451
95,383.120056597,462.823242188
96,383.920373978,462.837036133
97,390.444297805,462.975830078
98,391.849375128,463.011932373
99,398.270376057,463.213409424
100,399.453610003,463.153656006
101,406.468162454,462.80480957
102,406.928927569,462.644226074
103,413.986548118,460.061340332
104,414.793322039,459.912506104
105,420.968689218,458.73449707
106,422.856543562,458.557434082
107,428.468784887,458.024536133
108,430.637669515,458.152648926
109,436.071919767,458.516479492
110,438.375981982,458.973999023
111,443.631427102,460.103088379
112,446.123670942,460.849487305
113,451.17101934,462.474517822
114,453.867291328,462.522949219
115,458.714129044,462.644775391
116,461.599418007,462.576965332
117,466.261359096,462.499420166
118,469.314624082,462.366577148
119,473.863084574,462.204986572
120,477.008956595,462.159698486
121,481.495814095,462.145751953
122,484.715093952,461.808868408
123,488.969855839,461.373748779
124,492.416481313,461.148681641
125,496.696242398,460.884368896
126,500.109110629,461.127563477
127,504.162486341,461.446594238
128,507.833887692,461.544158936
129,511.622322391,461.646484375
130,515.555786092,461.684020996
131,519.058743356,461.709625244
132,523.11565206,461.679748535
133,528.822367105,461.635528564
134,530.636197091,461.520843506
135,536.1084331,461.156951904
136,538.407830558,460.991241455
137,543.391726034,460.613098145
138,546.173216797,460.937194824
139,550.617674805,461.48324585
140,553.934494784,461.677734375
141,557.812079307,461.920471191
142,561.688409909,462.013092041
143,564.967931119,462.100769043
144,569.426816935,462.010681152
145,572.218127387,461.954162598
146,577.147289758,461.899963379
147,579.503268452,461.872161865
148,584.869373189,461.648284912
149,586.739144027,461.564575195
150,592.5739108,461.20602417
151,594.020857684,461.111480713
152,600.263232193,461.128509521
153,601.302019058,461.130889893
154,607.939442174,462.162536621
155,608.671299331,462.281768799
156,615.605831476,462.912872314
157,616.001016685,462.950561523
158,623.261729516,464.115356445
159,623.42576752,464.142822266
160,625.556039435,464.40725708
161,630.884234763,465.017883301
162,631.294351018,464.979766846
163,638.488817568,464.871826172
164,645.034259571,464.216094971
165,646.107656756,464.250396729
166,652.498432268,464.470672607
167,653.721390236,464.548919678
168,660.154751642,465.004882813
169,661.358034231,464.990814209
170,668.049923539,464.911865234
171,669.006058807,464.909179688
172,669.963682668,464.87713623
173,676.634190803,464.856323242
174,677.582212976,464.832061768
175,684.25610224,464.594421387
176,685.224100055,464.528259277
177,691.866646697,464.352203369
178,692.926401227,464.297119141
179,699.480748286,463.834136963
180,700.607421291,463.852111816
181,707.080491201,463.515197754
182,708.316543585,463.567474365
183,714.663481162,463.702850342
184,716.121291279,463.827514648
185,722.262114245,464.115081787
186,723.787648461,464.200317383
187,729.831940164,464.752716064
188,731.542003779,464.77935791
189,737.436878662,465.151245117
190,739.179503619,465.020965576
191,745.066928448,465.148529053
192,746.740932482,464.850219727
193,752.69880615,464.398681641
194,754.311520319,464.281646729
195,760.325724075,463.14642334
196,761.899373867,463.058959961
197,767.935715772,462.632019043
198,769.530580007,462.360290527
199,775.509256369,462.085357666
200,777.001868402,461.782989502
201,782.830114392,460.83493042
202,783.096714158,460.805084229
203,783.363821106,460.77520752
204,783.631436639,460.745269775
205,783.899558906,460.715332031
206,784.167587993,460.69152832
207,788.943731741,459.718109131
208,789.224505158,459.69317627
209,789.505294891,459.668243408
210,789.786020403,459.643493652
211,790.067394319,459.61541748
212,790.795658994,459.535797119
213,791.079616362,459.506164551
214,791.805701949,459.426757813
215,792.092276665,459.396881104
216,792.816177499,459.317749023
217,793.105264175,459.288604736
218,793.827111101,459.209777832
219,794.546494655,459.142944336
220,794.838518309,459.116455078
221,795.556648288,459.049743652
222,795.850179106,459.023132324
223,796.567055973,458.956512451
224,796.862093232,458.929748535
225,797.577472688,458.863616943
226,797.874300761,458.825897217
227,798.586637451,458.749572754
228,798.887170818,458.704956055
229,799.596101266,458.625030518
230,799.900701927,458.579772949
231,800.606242502,458.50012207
