Index,X,Graphic Profile 1
0,0,337.5
1,7.01485568983,337.037017822
2,18.9478951979,336.277862549
3,38.1845794508,335.037078857
4,49.2835472243,334.347930908
5,69.251397586,333.077606201
6,98.1557810295,331.308532715
7,102.059258414,331.070892334
8,147.913805269,328.341064453
9,157.237067925,327.621765137
10,178.840380651,325.908081055
11,190.555365382,325.00604248
12,195.609575538,324.605865479
13,222.729327246,322.362030029
14,244.327077049,320.484771729
15,254.208658224,319.790130615
16,272.235169307,318.504058838
17,285.57076672,317.55758667
18,292.698129495,317.044158936
19,316.206658466,315.713378906
20,340.960388802,314.205627441
21,346.574127734,313.94744873
22,356.323775891,313.463409424
23,376.97925421,312.465545654
24,388.723355688,311.854949951
25,407.063674203,311.022094727
26,436.225686523,309.572113037
27,436.773813797,309.550750732
28,437.718802527,309.512084961
29,473.293088499,308.120391846
30,477.3450624,307.978881836
31,482.629486377,307.76385498
32,489.553677313,307.550384521
33,498.217244057,307.450012207
34,508.939833659,307.175323486
35,517.126914992,306.909820557
36,526.473596263,306.56930542
37,527.807142123,306.529602051
38,538.510152441,306.298248291
39,548.418377267,306.054840088
40,556.482825839,305.944396973
41,563.215292357,305.871246338
42,583.78953329,305.408538818
43,589.935878247,305.231292725
44,594.65630646,305.040588379
45,598.232514473,305.078277588
46,601.111943681,305.01852417
47,628.811660215,304.557159424
48,638.442193779,304.390686035
49,643.77765453,304.289093018
50,673.543422817,303.740112305
51,696.474263707,303.25491333
52,708.187241667,303.141876221
53,729.375029515,302.858795166
54,742.489595932,302.702636719
55,749.703466817,302.589660645
56,777.292631992,302.330352783
57,801.550043627,302.016967773
58,812.232337539,301.938720703
59,837.817912094,301.684631348
60,847.611714716,301.593780518
61,851.490125948,301.547515869
62,883.282799657,301.288604736
63,900.068559042,301.120361328
64,918.758844756,300.799133301
65,948.67189153,300.230865479
66,953.561135577,300.164733887
67,962.733080983,300.034515381
68,986.103788935,299.684509277
69,995.788616543,299.53314209
70,1022.89964097,299.264770508
71,1041.89021153,299.07510376
72,1048.53548784,299.035125732
73,1064.25779854,298.948394775
74,1080.42510696,298.856811523
75,1087.16759981,298.822021484
76,1113.18574971,298.747497559
77,1131.72330943,298.698944092
78,1146.40833152,298.60067749
79,1175.75251706,298.420379639
80,1179.7720994,298.403930664
81,1190.4277504,298.358062744
82,1212.51219311,298.26449585
83,1222.35145695,298.22076416
84,1245.32038799,298.083618164
85,1269.8128812,297.950317383
86,1277.66738453,297.929534912
87,1293.13566012,297.887817383
88,1310.41828505,297.837402344
89,1323.60649463,297.798339844
90,1343.74448814,297.733154297
91,1369.05976863,297.667938232
92,1376.79306708,297.645751953
93,1382.72879081,297.632720947
94,1409.91015082,297.539398193
95,1439.93687666,297.443511963
96,1442.7914102,297.425689697
97,1447.12816915,297.400726318
98,1476.01082947,297.228363037
99,1494.1913253,297.129089355
100,1508.95620814,297.065063477
101,1532.06076039,296.989746094
102,1541.6767527,296.954345703
103,1547.6044759,296.939025879
104,1574.12947859,296.918762207
105,1600.79758203,296.896636963
106,1606.26047938,296.884918213
107,1615.2493593,296.865936279
108,1638.69804204,296.816223145
109,1653.17840837,296.785980225
110,1671.25858568,296.753814697
111,1703.53514115,296.718688965
112,1703.73316086,296.71887207
113,1704.02880541,296.719177246
114,1742.77625295,296.681030273
115,1749.47834725,296.675170898
116,1778.95877893,296.668609619
117,1803.37116187,296.66583252
118,1813.75015534,296.667358398
119,1827.76199842,296.670959473
120,1847.4924646,296.700500488
121,1862.15998917,296.733825684
122,1877.86982191,296.769439697
123,1880.07883788,296.771606445
124,1883.12538435,296.757263184
125,1887.40856115,296.736968994
126,1893.92567875,296.83682251
127,1907.07136646,296.764099121
128,1913.84795087,296.793212891
129,1920.49687546,296.568389893
130,1922.81879154,296.488861084
131,1924.15096687,296.480834961
132,1935.8353705,296.479919434
133,1944.24579756,296.514434814
134,1950.62364391,296.50982666
135,1955.78564786,296.495239258
136,1974.48970529,296.496246338
137,1978.15760281,296.495330811
138,1981.03441635,296.481567383
139,1983.29970677,296.482299805
140,2003.69208064,296.452667236
141,2011.73182955,296.43963623
142,2015.19494467,296.43371582
143,2038.37955957,296.447753906
144,2052.38433884,296.456359863
145,2064.62721982,296.478637695
146,2089.87907676,296.5184021
147,2090.4607279,296.518066406
148,2091.69511662,296.517242432
149,2116.06568725,296.501495361
150,2127.25261596,296.493896484
151,2141.15797447,296.478790283
152,2164.89944675,296.461242676
153,2165.85174274,296.462738037
154,2167.87857245,296.465606689
155,2191.01718717,296.499511719
156,2201.60945702,296.513183594
157,2216.25949267,296.470947266
158,2237.62711491,296.419158936
159,2241.66749759,296.410644531
160,2255.23595859,296.381774902
161,2268.31672751,296.354003906
162,2272.11564745,296.34588623
163,2294.5089385,296.389984131
164,2306.71259451,296.411254883
165,2320.33558575,296.422698975
166,2341.29406334,296.439483643
167,2345.85826803,296.436004639
168,2358.24845513,296.425170898
169,2371.12993578,296.414337158
170,2375.7502347,296.409881592
171,2395.59102657,296.408782959
172,2410.57726088,296.40737915
173,2419.82923682,296.405731201
174,2442.23267826,296.398986816
175,2444.10960445,296.398468018
176,2444.86380659,296.398193359
177,2468.3816507,296.479248047
178,2478.87991921,296.516540527
179,2492.38903569,296.499633789
180,2512.67356602,296.476531982
181,2515.98455189,296.476043701
182,2522.52659907,296.475402832
183,2538.77336975,296.47354126
184,2546.74925353,296.473022461
185,2561.41329542,296.445983887
186,2580.46636988,296.404174805
187,2583.82460377,296.409484863
188,2590.4029414,296.420776367
189,2606.10093707,296.447052002
190,2613.9016936,296.461151123
191,2628.50535166,296.464935303
192,2646.78238516,296.473449707
193,2650.90628701,296.470581055
194,2660.28750289,296.464019775
195,2673.51562072,296.454803467
196,2679.17036937,296.450866699
197,2696.24156798,296.457244873
198,2711.14358209,296.464508057
199,2718.9077647,296.48550415
200,2738.83179154,296.530975342
201,2741.65361435,296.537750244
202,2742.72269576,296.539855957
203,2766.69395984,296.502319336
204,2773.30854152,296.497192383
205,2791.37217506,296.512969971
206,2803.88217652,296.52255249
207,2815.57711228,296.578735352
208,2834.40148255,296.655578613
209,2839.40424014,296.647216797
210,2857.81143587,296.623291016
211,2863.25101227,296.615783691
212,2864.69422982,296.614349365
213,2886.51871262,296.633666992
214,2894.91168396,296.636108398
215,2909.43820993,296.67376709
216,2924.97244835,296.720458984
217,2932.08606034,296.720184326
218,2953.70327132,296.71774292
219,2954.55480588,296.717651367
220,2954.82811721,296.717590332
221,2955.40526985,296.717071533
222,2984.56190401,296.691223145
223,3001.64563226,296.693817139
224,3013.97921138,296.695495605
225,3020.44598534,296.706970215
226,3043.04730988,296.733917236
227,3046.12270393,296.747070313
228,3072.01248908,296.859130859
229,3083.00876613,296.862182617
230,3100.76327767,296.865020752
231,3123.6209155,296.927490234
232,3129.31502358,296.941497803
233,3142.38851323,296.882446289
234,3157.66813387,296.811462402
235,3164.31975539,296.826080322
236,3185.81133616,296.870300293
237,3205.31069689,296.970184326
238,3213.74231413,297.011901855
239,3229.16672148,296.968841553
240,3239.92582516,296.934509277
241,3241.54422495,296.933746338
242,3243.69233578,296.932678223
243,3246.68096531,296.935974121
244,3266.55789249,296.96685791
245,3272.28483719,297.028625488
246,3280.27857733,297.032409668
247,3287.98525635,297.049499512
248,3296.51058172,297.046386719
249,3304.34406537,297.043640137
250,3307.60337353,297.04095459
251,3317.06882159,297.033233643
252,3322.28292196,297.030487061
253,3331.40107265,297.023834229
254,3338.09642134,297.018707275
255,3352.91011321,297.067016602
256,3357.64512481,297.06942749
257,3361.07464005,297.098449707
258,3363.75366097,297.09664917
259,3385.75164529,297.147460938
260,3386.21541083,297.150024414
261,3386.59184095,297.149841309
262,3390.25897131,297.155029297
263,3410.05811377,297.190704346
264,3415.35490993,297.218475342
265,3433.64244508,297.324371338
266,3444.36654883,297.33493042
267,3457.48817345,297.349609375
268,3472.73080797,297.342071533
269,3481.44538931,297.339202881
270,3500.21611268,297.217407227
271,3505.95458222,297.178833008
272,3523.34431343,297.032287598
273,3528.437267,296.990020752
274,3530.44735951,296.935028076
275,3550.22191925,296.363739014
276,3562.38339354,296.259674072
277,3572.2705186,296.169219971
278,3593.91869679,296.354705811
279,3594.04644123,296.355712891
280,3594.31731108,296.35736084
281,3615.64219653,296.482971191
282,3625.27788147,296.6847229
283,3637.4004473,296.947845459
284,3656.1170693,297.045227051
285,3659.06747908,297.06137085
286,3666.98446395,297.009246826
287,3681.04061675,296.918945313
288,3686.08350361,296.778411865
289,3702.70860237,296.28125
290,3716.43952202,296.387451172
291,3723.99696784,296.449523926
292,3742.38743455,296.760223389
293,3745.43157364,296.808868408
294,3746.63475001,296.834136963
295,3766.76120305,297.301513672
296,3776.24483544,297.224060059
297,3788.44042053,297.136566162
298,3805.20063934,296.936737061
299,3810.08427529,296.878448486
300,3824.24304175,296.888763428
301,3831.58236504,296.895141602
302,3834.04181807,296.904388428
303,3853.15336791,296.966491699
304,3862.47227019,297.102172852
305,3874.66319568,297.280029297
306,3890.36790873,297.521026611
307,3896.65907291,297.612335205
308,3917.42718084,297.768554688
309,3919.07566217,297.781311035
310,3927.59516114,297.813934326
311,3942.91393099,297.898498535
312,3947.16933499,297.978485107
313,3947.55457,297.868743896
314,3947.95468537,297.754730225
315,3948.3705602,297.636230469
316,3948.80314438,297.512969971
317,3952.76262716,297.391357422
318,3953.18709159,297.220855713
319,3953.61691199,297.048187256
320,3954.05219034,296.873321533
321,3954.49303125,296.696258545
322,3954.93954202,296.516876221
323,3955.39183279,296.335174561
324,3955.85001651,296.151123047
325,3956.31420909,295.964660645
326,3956.78452948,295.775726318
327,3956.81481596,295.763519287
328,3957.28842181,295.573272705
329,3957.31539182,295.56237793
330,3957.79228362,295.370819092
331,3957.81593657,295.361297607
332,3958.29611498,295.168426514
333,3958.31645029,295.160217285
334,3958.79991583,294.966033936
335,3958.81693292,294.95916748
336,3959.30368621,294.763641357
337,3959.31738443,294.758117676
338,3959.80742608,294.561279297
339,3959.81780485,294.557098389
340,3960.3111354,294.358978271
341,3960.31819412,294.356140137
342,3960.81503868,294.198791504
343,3960.81872946,294.19732666
344,3961.31919738,294.092468262
345,3961.31945906,294.092346191
346,3961.35765912,294.084381104
347,3961.82298145,293.993530273
348,3961.82618179,293.992889404
349,3962.32670471,293.895172119
350,3962.33337015,293.893798828
351,3962.83039575,293.796722412
352,3962.84052687,293.794677734
353,3963.33405451,293.69821167
354,3963.34765183,293.695465088
355,3963.83768097,293.599700928
356,3963.85479273,293.598388672
357,3964.34131894,293.503692627
358,3964.36193966,293.504760742
359,3964.84495264,293.411529541
360,3964.86908035,293.412811279
361,3965.34857254,293.321136475
362,3965.37621483,293.322631836
363,3965.85217861,293.232391357
364,3965.88334309,293.234161377
365,3966.35577082,293.14541626
366,3966.39046506,293.147460938
367,3966.85934906,293.060180664
368,3966.89758072,293.0625
369,3967.36291338,292.976654053
370,3967.40469013,292.979278564
371,3967.86646365,292.894897461
