Index,X,Graphic Profile 1
0,0,337.5
1,2.5188290489,337.252838135
2,3.52576864041,337.153198242
3,6.03239935356,336.907226563
4,7.05035005853,336.806518555
5,9.54474707267,336.561706543
6,10.5737386215,336.459899902
7,13.0558664531,336.216308594
8,14.095928608,336.11340332
9,16.5657516282,335.871032715
10,17.6169143132,335.766998291
11,20.0743966171,335.525817871
12,21.1366898598,335.420715332
13,23.5817955195,335.180755615
14,24.6552494148,335.074523926
15,25.7383648708,334.967346191
16,28.1725872251,334.728424072
17,29.2670100723,334.620117188
18,31.6886971667,334.382446289
19,32.7944585853,334.273010254
20,35.2035736215,334.036529541
21,43.4484494375,331.821899414
22,45.2723072849,331.636688232
23,47.0694643677,331.4581604
24,48.7571896259,331.338439941
25,51.1300014376,329.931488037
26,52.6092469072,329.820831299
27,54.8915799111,329.186523438
28,57.0149184196,328.935180664
29,63.7652513844,326.297393799
30,64.7044593526,326.033599854
31,67.5848161831,325.637023926
32,68.7244730141,325.122802734
33,71.433048757,324.465087891
34,72.7501112117,323.949523926
35,75.3205574537,323.173065186
36,76.7993267923,322.764465332
37,79.2544055199,321.5965271
38,80.8673936684,321.01739502
39,83.1403790531,320.11126709
40,85.1816660056,319.565307617
41,87.0451640487,318.867736816
42,88.8069199026,318.224029541
43,90.5695907752,317.566741943
44,92.2913442928,316.894165039
45,94.0650865005,316.226287842
46,95.7753052002,315.40612793
47,97.5015165194,314.935089111
48,99.2562407873,314.172180176
49,101.000861146,313.708679199
50,102.732659325,313.257568359
51,104.512589581,312.701843262
52,106.203792357,312.256866455
53,108.025038844,311.699188232
54,109.906697002,311.145996094
55,111.540158398,310.662475586
56,113.487671703,310.173522949
57,115.055474297,309.721557617
58,117.067139509,309.157989502
59,118.565714205,308.741577148
60,120.644681859,308.098999023
61,122.074619322,307.756011963
62,124.226141349,307.21774292
63,125.579459544,306.861999512
64,127.798108393,306.36340332
65,129.07691542,305.997131348
66,131.351000197,305.612854004
67,132.565253188,305.333770752
68,134.899216689,304.911315918
69,136.046462363,304.677276611
70,138.43845583,304.212158203
71,139.520331111,304.046508789
72,141.937320137,303.784545898
73,142.983256375,303.611083984
74,145.424329137,303.406707764
75,146.441249952,303.225524902
76,147.434947207,303.125549316
77,149.895280284,302.952728271
78,150.870726453,302.876190186
79,153.34689703,302.704162598
80,154.304515541,302.641418457
81,156.797934902,302.481750488
82,159.320810886,302.323791504
