Index,X,Graphic Profile 1
0,0,429
1,18.4464003896,425.370788574
2,22.7879965746,424.267700195
3,23.9684547688,424.005096436
4,25.1491857354,423.742462158
5,31.3287207073,422.213806152
6,32.0950296985,422.043365479
7,32.8615472633,421.87286377
8,33.6282734441,421.702301025
9,34.3952082882,421.531707764
10,35.1623519369,421.361053467
11,41.7111194071,419.974517822
12,42.0686389684,419.894989014
13,42.4262703662,419.815429688
14,42.7840136379,419.735839844
15,43.1418688494,419.65625
16,50.4751773481,417.980560303
17,50.4909789601,417.977050781
18,50.5067860525,417.973510742
19,50.5225985976,417.970001221
20,51.0605398166,417.848114014
21,57.9790985359,416.320831299
22,58.1055438437,416.291809082
23,58.2345114376,416.262207031
24,58.3661231056,416.231964111
25,65.4234416248,414.666473389
26,65.632844839,414.620391846
27,65.8454893959,414.577056885
28,66.0609979998,414.533813477
29,73.1222744427,413.170043945
30,73.3868784755,413.117401123
31,73.6549166224,413.070343018
32,73.9250014635,413.028594971
33,81.0681309001,411.952362061
34,81.3620367205,411.907287598
35,81.6578478658,411.862060547
36,81.9553244623,411.828643799
37,89.4329456081,411.137939453
38,89.7306639023,411.109741211
39,90.0284550747,411.081665039
40,90.326322523,411.053863525
41,90.624319036,411.029449463
42,98.2997667078,410.498046875
43,98.5831851867,410.477874756
44,98.86567432,410.458587646
45,107.642070909,410.017822266
46,109.608735729,409.916717529
47,117.023974548,409.513946533
48,117.07892045,409.51083374
49,117.133434756,409.507995605
50,117.188628754,409.505554199
51,125.769725034,409.147094727
52,125.874591341,409.142547607
53,125.980066434,409.139160156
54,126.085885899,409.135955811
55,134.691230389,408.890960693
56,134.81149824,408.887329102
57,134.931510005,408.883728027
58,143.291695117,408.645080566
59,143.402259701,408.641906738
60,143.512412711,408.639404297
61,151.977163956,408.450958252
62,152.068642292,408.448913574
63,152.159674117,408.44631958
64,152.250095588,408.443237305
65,160.664986906,408.140930176
66,160.725081449,408.139038086
67,160.784988116,408.138092041
68,169.722276988,407.982452393
69,169.769058072,407.981689453
70,169.815772895,407.981079102
71,169.862533937,407.980560303
72,178.827711083,407.896270752
73,178.877704156,407.895721436
74,178.927647337,407.895080566
75,187.551850274,407.783782959
76,187.595625423,407.783203125
77,187.639339584,407.782531738
78,187.683003034,407.781829834
79,196.861971236,407.633056641
80,196.900688761,407.632385254
81,196.939392345,407.630950928
82,196.978094219,407.629486084
83,205.803171313,407.290374756
84,205.842766157,407.289154053
85,205.882400435,407.288116455
86,214.820608242,407.057189941
87,214.865828841,407.056030273
88,214.911028309,407.055511475
89,214.956171826,407.054931641
90,223.822227734,406.960662842
91,223.86238961,406.959899902
92,223.902445554,406.95892334
93,232.890303725,406.742431641
94,232.917155846,406.741790771
95,232.943933633,406.74130249
96,232.970637688,406.740844727
97,241.884043966,406.596313477
98,241.89747672,406.596069336
99,241.910821984,406.59576416
100,245.448479144,406.517791748
101,250.448900261,406.407806396
102,250.460181172,406.407623291
103,250.471491027,406.407409668
104,250.482847912,406.407165527
105,250.494252149,406.406921387
106,250.505704123,406.406677246
107,258.988551389,406.231414795
108,259.021915416,406.230682373
109,259.055429054,406.229980469
110,259.08909271,406.229278564
111,259.122903535,406.22857666
112,267.921135779,406.052581787
113,267.976461081,406.051452637
114,268.032020277,406.050079346
115,268.087804295,406.048736572
116,268.143814549,406.047363281
117,276.938205045,405.951812744
118,277.256911368,405.947113037
119,285.900634646,405.709869385
120,286.019473564,405.706481934
121,286.138621483,405.703094482
122,286.258076819,405.699676514
123,295.311191501,405.428924561
124,295.439261318,405.424987793
125,295.567512443,405.421020508
126,295.695949861,405.417236328
127,304.496130643,405.13885498
128,304.622085378,405.134918213
129,304.747933046,405.131011963
130,304.87366263,405.127105713
131,313.477544004,404.754608154
132,313.612686835,404.748931885
133,313.748064074,404.743103027
134,313.883699405,404.737365723
135,322.222516145,404.616943359
136,322.365819797,404.614776611
137,322.509335666,404.612579346
138,322.653048879,404.610748291
139,331.165010938,404.608032227
140,331.301680373,404.607879639
141,331.438095843,404.607696533
142,331.574256586,404.606658936
143,339.941619654,404.373046875
144,340.06967383,404.369506836
145,340.197461404,404.365997314
146,340.324997464,404.363098145
147,348.891963303,404.222290039
148,349.015068609,404.220336914
149,349.138027706,404.218383789
150,349.260864434,404.216766357
151,357.59414906,404.129425049
152,357.720008171,404.128356934
153,357.845935131,404.127502441
154,357.971960633,404.122131348
155,366.40895543,403.533782959
156,366.54355015,403.52520752
157,366.678394706,403.516601563
158,366.813627112,403.514709473
159,375.504275765,403.532287598
160,375.668879388,403.532653809
161,375.834556972,403.532989502
162,376.001376584,403.530578613
163,384.351070514,403.352630615
164,384.553915867,403.348480225
165,384.758460327,403.344177246
166,384.964751533,403.337677002
167,393.422978606,403.054138184
168,393.666243154,403.045959473
169,393.91161013,403.037689209
170,394.159060479,403.035430908
171,402.22355393,403.017974854
172,402.501361384,403.017425537
173,402.781263883,403.016998291
174,403.063382405,403.016479492
175,411.540538117,402.99597168
176,411.861320944,402.995361328
177,412.185083521,402.994750977
178,412.511888884,402.989776611
179,420.259759982,402.849822998
180,420.622916364,402.843200684
181,420.989570638,402.836547852
182,421.359792758,402.851715088
183,429.014851723,403.222167969
184,429.422139865,403.240814209
185,429.833522785,403.259033203
186,430.24918502,403.260101318
187,430.669699487,403.261169434
188,438.210818377,403.291381836
189,438.673284302,403.291168213
190,439.141140877,403.281402588
191,439.614576356,403.27166748
192,447.351296235,403.112457275
193,447.867420479,403.103729248
194,448.389328728,403.114135742
195,455.548077852,403.267059326
196,456.096022042,403.277954102
197,456.648379031,403.286651611
198,457.204912438,403.289855957
199,464.588790998,403.353881836
200,465.16632807,403.357208252
201,465.74780718,403.361022949
202,466.332439023,403.366455078
203,473.546772055,403.455413818
204,474.138618928,403.461456299
205,474.732381917,403.472137451
206,475.326827191,403.494659424
207,483.119245042,403.81439209
208,483.704382156,403.836578369
209,484.288313624,403.858276367
210,484.87103042,403.875732422
211,492.091553845,404.101287842
212,492.665598278,404.118499756
213,493.238510767,404.131866455
214,493.81009017,404.129089355
215,501.28013313,404.092834473
216,501.837103119,404.090606689
217,502.391874814,404.090942383
218,502.944641942,404.099731445
219,510.429290218,404.209960938
220,510.975520074,404.21862793
221,511.520787301,404.227386475
222,512.065190031,404.236968994
223,519.296992072,404.349853516
224,519.837837009,404.359405518
225,520.378195181,404.36895752
226,520.91802362,404.378601074
227,528.445989685,404.497528076
228,528.981522731,404.507141113
229,529.515804386,404.516479492
230,530.049978108,404.525115967
231,530.586495163,404.533782959
232,537.688397655,404.631286621
233,538.240000919,404.641326904
234,538.794084447,404.652008057
235,539.350688263,404.662200928
236,546.511158383,404.792419434
237,547.083916553,404.806671143
238,547.659646234,404.823822021
239,548.238757538,404.841064453
240,555.344796024,405.054779053
241,555.944187383,405.074310303
242,556.547418064,405.09487915
243,557.154724093,405.115600586
244,564.076252146,405.358398438
245,564.706048887,405.38079834
246,565.341001818,405.403869629
247,565.981393745,405.427490234
248,572.905920694,405.68347168
249,573.57510222,405.707092285
250,574.24989083,405.730773926
251,574.930346053,405.754669189
252,581.681526262,405.991638184
253,583.773554564,406.073944092
254,590.3508038,406.332244873
255,590.589842022,406.342132568
256,590.829696856,406.352050781
257,591.070372418,406.361999512
258,591.311894443,406.372161865
259,591.554244038,406.382507324
260,591.797401452,406.392883301
261,592.041370599,406.403320313
262,592.286165605,406.413848877
263,592.531799543,406.424438477
264,592.778276795,406.435058594
265,599.253703679,406.712219238
266,599.511772347,406.723358154
267,599.770686879,406.734069824
268,600.030562796,406.744812012
269,600.291393524,406.755371094
270,600.55318505,406.765319824
271,600.815990626,406.77532959
272,601.079816211,406.785369873
273,601.34470432,406.796722412
274,601.610681013,406.808288574
275,607.824883599,407.135070801
276,608.101268054,407.147033691
277,608.378538971,407.166992188
278,608.656854872,407.191680908
279,608.936350436,407.216461182
280,609.217032881,407.241333008
281,609.498840097,407.265869141
282,609.782008881,407.290527344
283,610.066549125,407.315307617
284,610.352439876,407.340667725
285,610.639673316,407.36630249
286,615.979239118,407.922271729
287,616.274944251,407.953582764
288,616.571913499,407.988037109
289,616.870406669,408.023803711
290,617.170430131,408.059753418
291,617.471995616,408.095916748
292,617.775144978,408.130889893
293,618.079940255,408.165924072
294,618.386395619,408.20111084
295,623.130288479,408.830291748
296,623.444552125,408.864501953
297,623.760045626,408.896697998
298,624.077473253,408.929107666
299,624.396853303,408.961791992
300,624.718197018,408.996887207
301,625.041485902,409.032226563
302,625.366737679,409.067779541
303,625.694022733,409.102966309
304,630.174187933,409.617279053
305,630.509455163,409.65737915
306,630.845963082,409.70489502
307,631.185001435,409.752746582
308,631.526595079,409.801300049
309,631.870817256,409.850250244
310,632.217700185,409.89956665
311,632.567190607,409.950927734
312,632.919199195,410.004302979
313,636.821189613,410.616149902
314,637.179186411,410.67755127
315,637.540621677,410.739532471
316,637.905546525,410.800964355
317,638.274103882,410.862823486
318,638.646354407,410.925292969
319,639.022343816,410.989379883
320,639.401619207,411.062530518
321,639.784876652,411.150756836
322,640.173743065,411.240692139
323,643.571429831,411.860778809
324,643.966293752,411.957244873
325,644.366837522,412.055114746
326,644.773184546,412.154418945
327,645.602372102,412.373748779
328,646.027638105,412.492248535
329,646.461165544,412.613098145
330,646.903198989,412.73638916
331,648.29516268,413.134674072
332,648.79060138,413.281341553
333,651.631305227,413.99798584
334,652.123867197,414.144683838
335,652.630756405,414.291473389
336,653.153097314,414.442687988
337,655.56813933,415.138763428
338,656.095873962,415.437408447
339,656.629772009,415.757598877
340,657.168293318,416.080535889
341,657.710776195,416.405731201
342,658.256520431,416.732635498
343,658.806523827,417.062072754
344,660.746105865,417.699829102
345,661.320377858,418.050384521
346,661.898397095,418.404541016
347,662.482022026,418.768218994
348,663.072869064,419.14541626
349,663.668897038,419.525878906
350,664.270174397,419.909698486
351,664.876770804,420.296936035
352,665.488757165,420.687591553
353,667.046996188,421.223144531
354,667.681114948,421.631530762
355,668.320465297,422.043304443
356,668.965112255,422.458435059
357,669.615121956,422.877075195
358,670.270561585,423.299194336
359,670.93149944,423.724853516
360,671.598005022,424.15411377
361,672.642434263,424.744903564
362,673.326330697,425.186065674
363,674.015648596,425.630767822
364,678.065543216,429

