Index,X,Graphic Profile 1
0,0,429
1,3.82862573007,428.098724365
2,7.66255607375,427.196228027
3,11.5018021804,426.292449951
4,33.9312659565,421.990081787
5,41.3210561429,420.5909729
6,42.9759130546,420.398376465
7,46.3824212776,419.65234375
8,50.1528925118,419.04901123
9,50.1959862465,419.042175293
10,50.2390330417,419.035339355
11,50.2820330636,419.028503418
12,50.3249863516,419.02166748
13,54.7577045629,418.447143555
14,54.787307621,418.442443848
15,54.8168777746,418.437744141
16,54.8464107268,418.433654785
17,54.8758117744,418.429870605
18,54.9050651803,418.426116943
19,54.9341720384,418.422393799
20,54.963133424,418.418670654
21,59.2475748831,418.060089111
22,59.2699181769,418.057250977
23,59.292149016,418.054412842
24,59.3142655475,418.051940918
25,59.3363104673,418.050109863
26,59.3583093227,418.048278809
27,59.380262196,418.046478271
28,59.4021692455,418.044647217
29,59.4240306758,418.04284668
30,64.1620142967,417.821655273
31,64.1654027463,417.821380615
32,64.1687879636,417.821166992
33,64.172159979,417.821014404
34,64.1755094312,417.820861816
35,64.178836522,417.820709229
36,64.1821414752,417.820556641
37,64.1854245297,417.820404053
38,64.6554862486,417.818969727
39,68.5402123042,417.801116943
40,68.7345144337,417.804473877
41,69.3366301971,417.824798584
42,74.9119776101,417.942504883
43,75.1720598473,417.947906494
44,75.4343008093,417.949798584
45,75.6761266372,417.946655273
46,78.8712648378,417.905334473
47,79.120345482,417.902069092
48,79.3723142364,417.898773193
49,79.6272215787,417.89541626
50,79.8851192824,417.892059326
51,80.1460602031,417.88861084
52,80.4100986018,417.885162354
53,80.6741569045,417.882141113
54,80.9307931882,417.880310059
55,84.3348494518,417.856628418
56,84.5851030114,417.854827881
57,84.8338811761,417.853057861
58,85.0811968756,417.851287842
59,85.3271184235,417.84954834
60,85.5716083239,417.847869873
61,85.8146713235,417.846160889
62,86.0563197603,417.844482422
63,86.2968882969,417.843841553
64,86.5377453446,417.847076416
65,86.77797718,417.850280762
66,90.3865004867,417.899078369
67,90.6221396463,417.90222168
68,90.8571569575,417.905395508
69,91.0915549307,417.908538818
70,91.3253359868,417.911682129
71,91.5585024968,417.914794922
72,91.7910569601,417.917907715
73,92.0230028823,417.921020508
74,92.2546681322,417.922149658
75,92.4858836867,417.923248291
76,92.7166508439,417.924377441
77,96.5186649956,417.943115234
78,96.7450885511,417.944213867
79,96.9710666564,417.9453125
80,97.1966006505,417.946411133
81,97.4216918087,417.947479248
82,97.6463414931,417.948577881
83,97.8705509286,417.949676514
84,98.0940573693,417.949798584
85,98.3166710163,417.949127197
86,98.5385432353,417.948425293
87,98.7596776928,417.947753906
88,103.018881354,417.934844971
89,103.233421962,417.934204102
90,103.447233277,417.933563232
91,103.660319057,417.932891846
92,103.872683024,417.932250977
93,104.084328785,417.93157959
94,104.29526,417.930938721
95,104.505450657,417.930053711
96,104.71478035,417.928466797
97,104.923299885,417.926879883
98,105.131013938,417.925292969
99,105.337927199,417.923736572
100,109.742848879,417.890350342
101,109.941930827,417.888824463
102,110.140226413,417.887329102
103,110.337740262,417.885803223
104,110.534477034,417.884307861
105,110.730441281,417.8828125
106,110.925637558,417.881347656
107,115.666582577,417.804229736
108,120.761649516,417.734130859
109,122.608104679,417.706512451
110,125.97043471,417.475799561
111,131.671339099,416.889923096
112,132.049457651,416.855682373
113,132.788563524,416.788726807
114,138.133863616,416.282592773
115,139.072955409,416.20123291
116,143.737811281,415.796966553
117,143.821665782,415.787231445
118,143.905590105,415.77746582
119,143.989584301,415.767700195
120,144.073648507,415.75793457
121,144.157782774,415.748138428
122,144.241987202,415.738342285
123,144.326261869,415.728546143
124,144.410606908,415.71875
125,144.495022323,415.70892334
126,144.579508284,415.69909668
127,144.664064832,415.68927002
128,144.748692045,415.679443359
129,144.833390056,415.669586182
130,144.918158942,415.659729004
131,149.760065149,415.087036133
132,149.841913593,415.077514648
133,149.923831209,415.067993164
134,150.005818149,415.05847168
135,150.087874462,415.048919678
136,150.170000278,415.039367676
137,150.252170932,415.029998779
138,150.334245415,415.022857666
139,150.416620678,415.015686035
140,150.4992983,415.008483887
141,150.58228002,415.001281738
142,150.665567536,414.994018555
143,150.749162455,414.986755371
144,150.833066545,414.97946167
145,150.917281497,414.972106934
146,151.001809067,414.964752197
147,151.086650981,414.957366943
148,151.171808997,414.949951172
149,151.257284902,414.9425354
150,151.343080434,414.935058594
151,151.429197449,414.92755127
152,151.515637716,414.920043945
153,156.338639936,414.492004395
154,156.426653933,414.484344482
155,156.51499283,414.47668457
156,156.603658396,414.468963623
157,156.692652502,414.461212158
158,156.781976925,414.453460693
159,156.871397122,414.449157715
160,156.961304936,414.445037842
161,157.051724093,414.440887451
162,157.142659057,414.436706543
163,157.234114232,414.432525635
164,157.326094058,414.428344727
165,157.418603088,414.424102783
166,157.511645916,414.419830322
167,157.605227146,414.415557861
168,157.699351465,414.411224365
169,157.794023634,414.406921387
170,157.889248469,414.402526855
171,157.985030785,414.398162842
172,158.081375517,414.393737793
173,158.178287595,414.389312744
174,158.275772106,414.384857178
175,162.794479661,414.172424316
176,162.895648867,414.167816162
177,162.997394335,414.163146973
178,163.099721016,414.158477783
179,163.202623475,414.153839111
180,163.306017011,414.150054932
181,163.410066001,414.146240234
182,163.514776791,414.142425537
183,163.620155634,414.138549805
184,163.726208949,414.134674072
185,163.832943274,414.130737305
186,163.940365189,414.126800537
187,164.04848131,414.12286377
188,164.157298426,414.118865967
189,164.266823366,414.114868164
190,164.377063088,414.110809326
191,164.488024556,414.106750488
192,164.599714905,414.102661133
193,164.712141367,414.09854126
194,164.82531124,414.094390869
195,164.939231873,414.090209961
196,168.944855052,413.938873291
197,169.061460931,413.93460083
198,169.178809705,413.930328369
199,169.29688182,413.926025391
200,169.415271234,413.922149658
201,169.534618694,413.918243408
202,169.654935847,413.914306641
203,169.776234598,413.910339355
204,169.898526972,413.906341553
205,170.021825266,413.902313232
206,170.146141939,413.898254395
207,170.271489658,413.894134521
208,170.397881241,413.890014648
209,170.525329851,413.88583374
210,170.653848806,413.881622314
211,170.783451605,413.877380371
212,170.914152065,413.87310791
213,171.045964144,413.868804932
214,171.178902077,413.864440918
215,171.312980421,413.860046387
216,171.448213826,413.855621338
217,171.584617342,413.851165771
218,171.722206233,413.846679688
219,175.6777742,413.712799072
220,175.816596373,413.708282471
221,175.956550536,413.703704834
222,179.234812144,413.602203369
223,180.782762669,413.554260254
224,185.471350567,413.671386719
225,190.372785619,413.80871582
226,196.561102869,413.759979248
227,202.730484968,413.592956543
228,204.225751159,413.501861572
229,210.417797769,413.396942139
230,216.591669373,413.313964844
231,217.139198753,413.217834473
232,222.833783155,413.188568115
233,229.049927743,413.090484619
234,229.500873174,413.039154053
235,229.986222278,412.993133545
236,236.055445998,412.810424805
237,242.314540259,412.480743408
238,242.854683994,412.456298828
239,248.99874462,412.294219971
240,249.519193657,412.309692383
241,255.677956949,412.139404297
242,256.154279106,412.234558105
243,262.401998729,412.13269043
244,268.541519601,412.348388672
245,269.488348063,412.257598877
246,275.867991329,412.32409668
247,282.251782718,412.718963623
248,288.18439953,413.054656982
249,294.807692157,413.147491455
250,301.159425402,413.014190674
251,301.657131506,412.994781494
252,307.996888587,412.870147705
253,315.666820504,412.645935059
254,321.510180746,412.639190674
255,323.03525674,412.588806152
256,328.501317487,412.33480835
257,333.562228393,412.176391602
258,335.73378175,412.11730957
259,340.229987758,411.962646484
260,344.62405552,411.875518799
261,348.890088002,411.741027832
262,349.683083618,411.715637207
263,350.476727136,411.690216064
264,355.158991344,411.663421631
265,355.946933041,411.646270752
266,356.734700195,411.640380859
267,357.522109611,411.634490967
268,361.77919645,411.64831543
269,362.562018537,411.646453857
270,363.344840504,411.64730835
271,364.127721305,411.648101807
272,368.798019711,411.648223877
273,369.579169826,411.64666748
274,370.360855051,411.647125244
275,374.797344451,411.525146484
276,375.576237998,411.521057129
277,376.355293368,411.501190186
278,377.134376809,411.481323242
279,381.536798575,411.332855225
280,382.335278583,411.309753418
281,383.13983952,411.284393311
282,383.951816741,411.258789063
283,388.217067077,411.337097168
284,389.0436247,411.34854126
285,389.877034948,411.363525391
286,390.716779119,411.390686035
287,395.263244836,411.695220947
288,396.115536486,411.749847412
289,396.973864732,411.804901123
290,401.322696921,412.069213867
291,402.181602052,412.121826172
292,403.04325716,412.172424316
293,403.906493087,412.223419189
294,408.160486911,412.145935059
295,409.028721288,412.148162842
296,409.899574619,412.134216309
297,410.773133079,412.11819458
298,415.021480542,411.88168335
299,415.897731181,411.836029053
300,416.77607851,411.790252686
301,417.654388613,411.747344971
302,421.941024856,411.549194336
303,422.809605195,411.511749268
304,423.675568025,411.474334717
305,427.970419781,411.286987305
