Index,X,Graphic Profile 1
0,0,429
1,8.02614779694,420.852111816
2,8.29327966861,420.630065918
3,8.56016691806,420.408203125
4,10.3350169045,420.238739014
5,10.5918058439,420.02532959
6,14.1191842055,419.478393555
7,14.3678214301,419.3487854
8,14.6154752124,419.308563232
9,18.5025769207,418.774108887
10,18.7411233312,418.738433838
11,23.4458658038,418.34753418
12,23.6323362686,418.327575684
13,23.8151499136,418.310913086
14,28.855480869,418.099914551
15,29.0350482789,418.089508057
16,29.2139551628,418.08404541
17,35.1960865679,418.272125244
18,35.3304251153,418.273803711
19,35.4626825896,418.277893066
20,41.9924573534,418.876922607
21,42.0871891706,418.884277344
22,42.1815136649,418.891723633
23,49.06017265,419.547729492
24,49.1294476426,419.553527832
25,49.1986700856,419.55960083
26,49.2674638861,419.566619873
27,55.9443389838,420.330841064
28,56.9226604089,420.440429688
29,56.9287564184,420.441101074
30,56.9349308455,420.441772461
31,56.9411723191,420.442169189
32,64.6417865854,420.908447266
33,64.6909286343,420.911376953
34,64.7405882465,420.914276123
35,72.566539115,421.350219727
36,72.6496766032,421.354797363
37,72.7335625298,421.359405518
38,72.8186016541,421.364837646
39,72.9050991949,421.370819092
40,81.2686482562,421.957427979
41,81.4154642218,421.96762085
42,81.5641865465,421.970611572
43,81.7146867711,421.969787598
44,89.7694448024,421.928100586
45,89.9677392087,421.927032471
46,90.1674667352,421.910949707
47,97.6637191364,421.123016357
48,97.886220739,421.099700928
49,98.1102155214,421.07623291
50,98.3375141634,421.062194824
51,98.5678550454,421.048095703
52,106.230492417,420.578765869
53,106.508257804,420.559570313
54,106.785718064,420.527435303
55,114.465287623,419.635070801
56,114.745768788,419.602508545
57,115.026747582,419.572357178
58,115.309122806,419.550842285
59,123.069742167,418.963226318
60,123.367140056,418.940582275
61,123.665795301,418.92565918
62,123.965270973,418.932159424
63,131.623049245,419.106842041
64,131.931469237,419.113525391
65,132.240755776,419.127105713
66,132.550800852,419.154724121
67,139.645053056,419.797271729
68,139.96183283,419.825469971
69,140.279545809,419.844970703
70,140.598477796,419.858520508
71,147.927133876,420.179046631
72,148.257590636,420.193084717
73,148.588876024,420.171722412
74,148.920487894,420.139160156
75,156.031390318,419.443756104
76,156.365065389,419.411010742
77,156.699563768,419.395996094
78,157.035148787,419.380950928
79,164.462064427,419.053344727
80,164.807358687,419.039428711
81,165.154245251,419.038665771
82,165.50298683,419.03793335
83,172.879138309,419.029083252
84,173.244847787,419.02935791
85,173.611512084,419.033416748
86,173.978644822,419.037475586
87,180.957461084,419.121887207
88,181.327446151,419.127685547
89,181.698731888,419.135559082
90,182.07154637,419.14364624
91,189.211337132,419.302062988
92,189.595909946,419.309173584
93,189.979647059,419.315551758
94,190.362178807,419.321899414
95,197.49292841,419.44354248
96,197.86320708,419.447174072
97,198.230237243,419.450164795
98,205.446646008,419.512207031
99,205.779963535,419.514923096
100,206.109906375,419.518798828
101,206.434576009,419.522613525
102,214.048475459,419.61529541
103,214.312188862,419.618530273
104,214.571511544,419.623199463
105,214.825913794,419.6277771
106,222.616784148,419.771759033
107,222.796384383,419.772979736
108,222.972409681,419.766387939
109,223.144596609,419.75994873
110,230.94718131,419.468963623
111,231.032026199,419.466369629
112,231.115010481,419.464599609
113,231.196206341,419.462860107
114,238.464266705,419.309967041
115,239.17545823,419.294158936
116,239.188098137,419.293762207
117,239.201207989,419.293334961
118,239.214752791,419.29284668
119,247.306223609,419.038665771
120,247.481246295,419.031188965
121,247.661160006,419.023529053
122,255.294011222,418.690795898
123,255.590751673,418.687530518
124,255.894118091,418.686126709
125,256.203764235,418.685516357
126,263.351689559,418.658996582
127,263.748213432,418.663543701
128,264.149482571,418.667755127
129,271.266260245,418.760925293
130,271.719282294,418.77053833
131,272.176105677,418.78729248
132,272.633844966,418.804901123
133,279.285838596,419.074645996
134,279.759847337,419.086395264
135,280.232609772,419.096618652
136,286.866690669,419.247711182
137,287.337155431,419.252624512
138,287.805786213,419.242492676
139,288.267986216,419.232513428
140,295.026194885,419.098449707
141,295.452216032,419.073669434
142,295.869355504,419.04006958
143,302.988347434,418.456329346
144,303.319705291,418.429626465
145,304.169050496,418.341766357
146,311.601593088,417.540344238
147,311.663226991,417.534729004
148,311.724120753,417.529174805
149,311.784287795,417.523681641
150,311.843740912,417.518249512
151,319.412391392,416.799163818
152,319.427958587,416.797729492
153,319.443334356,416.796325684
154,319.458522272,416.794921875
155,319.473525689,416.793579102
156,319.488261519,416.79296875
157,319.50278982,416.792388916
158,319.517114991,416.791809082
159,319.531241295,416.791259766
160,321.564182655,416.71194458
161,327.396878895,416.470947266
162,327.419180354,416.468688965
163,327.441714955,416.466400146
164,327.464481793,416.464111328
165,327.487471498,416.461914063
166,327.510701374,416.459686279
167,327.534161201,416.457611084
168,327.557832645,416.4559021
169,327.581748108,416.454193115
170,327.605886314,416.452392578
171,327.630231687,416.450439453
172,335.089840573,416.235534668
173,335.144919159,416.230926514
174,335.200523719,416.225769043
175,335.256660668,416.220123291
176,335.313341529,416.214447021
177,335.370497393,416.208831787
178,335.428110934,416.201324463
179,335.486268462,416.193023682
180,335.544992036,416.185028076
181,335.604291084,416.177154541
182,335.664176152,416.169189453
183,335.724595524,416.160949707
184,335.785558614,416.15246582
185,342.719884049,415.943267822
186,342.810967834,415.929992676
187,342.902758849,415.916809082
188,342.995246581,415.903656006
189,343.088532059,415.890411377
190,343.182619671,415.877593994
191,343.277519584,415.865081787
192,343.373246579,415.852508545
193,343.4697709,415.844482422
194,343.567084971,415.848693848
195,343.665485598,415.852996826
196,343.764861612,415.857208252
197,343.865196964,415.861358643
198,343.966636132,415.865570068
199,350.389832512,415.218902588
200,350.519726572,415.225708008
201,350.650962063,415.232849121
202,350.783567644,415.240081787
203,350.917568361,415.247497559
204,351.053002077,415.255584717
205,351.189876299,415.263763428
206,351.328214141,415.272033691
207,351.468133042,415.275268555
208,351.609550673,415.253173828
209,351.752595543,415.230834961
210,351.897376792,415.208892822
211,352.043881724,415.186889648
212,352.192115833,415.164642334
213,357.812787776,414.29486084
214,357.984337986,414.269592285
215,358.15780974,414.244293213
216,358.333234177,414.218688965
217,358.510658506,414.193481445
218,358.690117962,414.168579102
219,359.240524435,414.136993408
220,359.429485672,414.13961792
221,359.621804879,414.14251709
222,359.817612493,414.145843506
223,360.016910307,414.149230957
224,360.219821426,414.153594971
225,360.426484735,414.160003662
226,360.63694326,414.166534424
227,365.302070654,414.567749023
228,365.531066159,414.57510376
229,365.763995246,414.585113525
230,366.241731945,414.650268555
231,366.487624696,414.695587158
232,366.738883408,414.741912842
233,366.995692666,414.788635254
234,367.258242466,414.835510254
235,367.526717744,414.883422852
236,367.800867716,414.931182861
237,368.080488796,414.977935791
238,371.689463228,414.322143555
239,371.97635149,414.380554199
240,372.26921068,414.439483643
241,373.190624951,414.607513428
242,373.515636935,414.662200928
243,373.850341589,414.718505859
244,374.195110272,414.774902344
245,374.550306616,414.829376221
246,374.916565264,414.885559082
247,375.29443079,414.941650391
248,375.684491115,414.995330811
249,376.087302045,415.05078125
250,376.503412009,415.10723877
251,377.386693954,415.22479248
252,377.85827252,415.289794922
253,380.604737554,415.444854736
254,381.062475288,415.514831543
255,381.53669827,415.587341309
256,382.027314923,415.662780762
257,382.528400985,415.742706299
258,383.047610193,415.825561523
259,383.586171987,415.912231445
260,384.146248977,416.006591797
261,384.727903458,416.104553223
262,385.332406878,416.206359863
263,387.142298416,416.600982666
264,388.510470642,416.862335205
265,389.400270313,417.046447754
266,396.505430086,419.712341309
267,410.685443335,425.032653809
268,427.16912094,429

