Index,X,Graphic Profile 1
0,0,429
1,10.4092034881,427.646636963
2,12.5028272966,427.356109619
3,15.0615741986,427.100769043
4,17.6068511492,426.84677124
5,20.1387642812,426.594116211
6,22.6574184469,426.342773438
7,24.2641856973,426.037597656
8,26.7237205925,425.790557861
9,28.2439352358,425.443603516
10,30.6362342151,425.20123291
11,33.0133028154,424.960418701
12,35.3752860182,424.721130371
13,37.3210947188,424.371368408
14,39.5895639512,424.140075684
15,41.8418670989,423.910430908
16,44.0781763,423.682434082
17,46.2986612734,423.456054688
18,48.5034893764,423.231262207
19,50.6928255924,423.008026123
20,52.8668325489,422.786376953
21,55.0256707479,422.56628418
22,57.169498272,422.347686768
23,59.2984711722,422.130645752
24,61.4127432652,421.915100098
25,63.5124662345,421.70098877
26,65.5977897263,421.488372803
27,67.6688613355,421.27722168
28,69.7258266711,421.067504883
29,86.1021511626,420.461578369
30,87.4501240435,420.329193115
31,88.7813362296,420.198486328
32,90.0960984508,420.069366455
33,91.3947135783,419.941833496
34,92.6774773461,419.815856934
35,93.9446781214,419.69140625
36,95.196344086,419.568389893
37,96.4039956382,419.434661865
38,97.6240668111,419.308074951
39,103.001123137,418.502380371
40,104.023394795,418.399627686
41,105.037636471,418.297668457
42,110.677624063,415.860687256
43,111.619628285,415.699310303
44,112.495836239,415.545440674
45,113.309173803,415.379425049
46,114.084631922,415.050689697
47,121.07970473,412.339477539
48,121.698392113,412.078582764
49,122.292727977,411.843109131
50,122.8614222,411.637756348
51,130.716237745,410.041381836
52,131.091014128,409.910064697
53,131.450006014,409.809661865
54,131.794561099,409.746429443
55,132.12392393,409.68536377
56,141.736669249,409.019378662
57,141.925435249,408.993377686
58,142.106631014,408.981781006
59,142.282060572,408.97052002
60,142.451749253,408.95791626
61,151.389412198,408.80279541
62,151.617003622,408.800720215
63,151.620033069,408.800750732
64,151.623052885,408.80078125
65,151.626063805,408.80078125
66,151.629066225,408.800811768
67,153.045064585,408.818328857
68,163.214925008,408.95401001
69,163.247758169,408.95401001
70,163.280832448,408.954040527
71,163.314092996,408.954467773
72,163.347544423,408.95513916
73,172.185491933,409.213928223
74,172.243901667,409.215362549
75,172.302254972,409.217346191
76,172.360646299,409.219482422
77,182.9930946,409.656433105
78,183.055058025,409.658813477
79,183.117186588,409.660980225
80,183.179410765,409.662322998
81,193.518789426,409.901672363
82,193.580020032,409.903015137
83,193.641386666,409.904449463
84,193.702099993,409.907897949
85,203.354682599,410.611572266
86,203.363038945,410.6121521
87,203.371325929,410.612762451
88,203.379765982,410.613433838
89,203.388655819,410.614196777
90,203.397813368,410.614990234
91,213.558855169,411.510894775
92,213.714803612,411.524658203
93,213.865475114,411.541381836
94,222.464884334,412.54385376
95,222.580223083,412.556671143
96,222.694936331,412.568939209
97,222.810713128,412.579681396
98,233.463362311,413.636444092
99,233.582640184,413.647491455
100,233.702262432,413.658416748
101,233.823147725,413.671600342
102,233.946640731,413.687866211
103,242.490988779,414.910125732
104,242.675516056,414.934417725
105,242.858441421,414.95513916
106,253.218154772,416.06262207
107,253.322822793,416.072723389
108,253.426150414,416.082702637
109,253.528163313,416.092559814
110,253.630294187,416.09197998
111,253.732307037,416.089813232
112,265.435345123,415.858642578
113,265.505626838,415.857147217
114,265.575766583,415.85559082
115,272.142379978,414.855407715
116,275.052262518,414.405914307
117,275.075633412,414.400604248
118,275.099432913,414.395202637
119,275.123692457,414.38973999
120,275.148639576,414.385986328
121,283.179988603,412.448852539
122,283.300664507,412.430908203
123,283.422641188,412.412780762
124,283.54578138,412.394561768
125,283.670175781,412.376159668
126,294.1299219,410.72454834
127,294.323415673,410.698547363
128,294.518147216,410.673797607
129,294.717393408,410.648712158
130,294.921301766,410.62310791
131,295.130574678,410.598388672
132,303.221367228,409.502410889
133,303.55290473,409.479156494
134,303.887144237,409.456695557
135,304.22385422,409.434082031
136,304.563062195,409.4112854
137,304.905198104,409.388244629
138,315.288996474,408.602325439
139,316.027219275,408.541931152
140,316.400774373,408.507995605
141,316.790758265,408.469909668
142,317.201656027,408.43762207
143,317.634344472,408.424072266
144,318.079378755,408.410186768
145,318.536458831,408.396118164
146,324.792853022,407.798492432
147,325.401149029,407.781951904
148,326.025696237,407.764953613
149,326.667207428,407.760803223
150,327.332407673,407.767913818
151,335.34873709,407.579406738
152,336.090416805,407.590240479
153,336.859827859,407.601501465
154,337.657775677,407.612915039
155,338.487080801,407.650756836
156,339.347304879,407.711151123
157,340.238544449,407.773712158
158,346.124162374,407.893859863
159,347.100645375,407.968017578
160,348.110980872,408.04473877
161,349.157303453,408.153564453
162,350.230621872,408.283355713
163,355.075043009,408.690734863
164,356.190446075,408.829406738
165,357.339499461,408.972320557
166,358.520581095,409.10067749
167,359.742521436,409.215576172
168,361.011365831,409.334869385
169,364.393681605,409.778961182
170,365.675238927,409.892150879
171,367.004673339,409.996643066
172,368.385855544,410.104644775
173,369.817845122,410.216125488
174,371.288532016,410.338134766
175,374.626904025,410.65612793
176,378.05303078,411.158294678
177,379.324707428,411.255310059
178,389.602250713,411.968322754
179,391.165687224,411.976013184
180,392.880158738,411.984436035
181,394.7709656,411.99331665
182,396.865527271,412.002990723
183,399.194362153,412.013824463
184,401.71385923,412.026641846
185,403.549753711,412.035949707
186,404.966885504,411.947570801
187,408.374891699,411.734069824
188,408.446695878,411.72958374
189,408.466263823,411.728393555
190,408.644696279,411.717163086
