Index,X,Graphic Profile 1
0,0,429
1,13.3932754625,422.661956787
2,14.7727867403,422.014373779
3,22.2224050712,421.819274902
4,34.8626403526,421.678009033
5,59.6332008537,419.187835693
6,60.293840364,419.232513428
7,60.947259119,419.276702881
8,61.3489926781,419.30090332
9,61.9981372321,419.350280762
10,62.4050335532,419.374786377
11,62.8180460044,419.402954102
12,63.4624346095,419.455657959
13,63.8824725947,419.486572266
14,64.3078306784,419.517883301
15,64.9446485782,419.569915771
16,65.5721467803,419.596038818
17,66.0033619769,419.61151123
18,66.4398577168,419.626373291
19,67.0598447951,419.650939941
20,67.5017153044,419.665405273
21,68.1134148214,419.688842773
22,68.5601415624,419.702301025
23,69.163355495,419.7237854
24,69.6154199474,419.73739624
25,70.2112719951,419.758575439
26,70.6701773712,419.77545166
27,71.1360733991,419.794708252
28,71.7258777179,419.819854736
29,72.1978039168,419.839355469
30,72.7806239086,419.866943359
31,73.2579529801,419.868560791
32,73.8323285737,419.895599365
33,74.3153180202,419.887420654
34,74.8805239944,419.891204834
35,75.3693794986,419.882873535
36,75.9260576006,419.874786377
37,76.4186622794,419.837860107
38,76.9676876798,419.829711914
39,77.4651217645,419.782806396
40,78.0047464453,419.741516113
41,78.5072212063,419.694091797
42,79.039270257,419.642669678
43,79.5495092314,419.611541748
44,80.0742404207,419.560913086
45,80.5898293732,419.529754639
46,81.1111421118,419.495147705
47,81.6302864526,419.463500977
48,82.1422908186,419.432495117
49,82.6642535961,419.378814697
50,83.1909359931,419.319885254
51,83.695132454,419.285858154
52,84.1893596593,419.233551025
53,84.719824959,419.171295166
54,85.2569285697,419.12121582
55,85.7435362036,419.06628418
56,86.2851757036,419.015838623
57,86.7654088002,418.960693359
58,87.3114926733,418.921051025
59,87.7861721273,418.87878418
60,88.3364856663,418.869537354
61,88.8046411332,418.82800293
62,89.3596260335,418.818939209
63,89.8211396583,418.788085938
64,90.3806941246,418.788787842
65,90.8354205328,418.785400391
66,91.3993879449,418.805969238
67,91.9692566059,418.826751709
68,92.4162976921,418.823577881
69,92.9910972985,418.832366943
70,93.4316929491,418.837310791
71,94.0113310984,418.83770752
72,94.4454150858,418.858642578
73,95.0296460674,418.858886719
74,95.4573426042,418.879425049
75,96.045192948,418.830535889
76,96.4669227943,418.840942383
77,97.0589450464,418.775756836
78,97.4746377849,418.779296875
79,98.0710977312,418.713226318
80,98.6747429591,418.671264648
81,99.082413116,418.674346924
82,99.6906881729,418.631866455
83,100.091294131,418.599609375
84,100.70418362,418.558959961
85,101.098317002,418.516326904
86,101.716610342,418.493774414
87,102.104332093,418.451965332
88,102.727235535,418.429534912
89,103.356708152,418.40826416
90,103.736304652,418.384155273
91,104.111679899,418.360351563
92,104.742044888,418.344390869
93,105.378855868,418.328277588
94,105.746070902,418.306488037
95,106.388021152,418.292663574
96,106.749376479,418.282592773
97,107.396839414,418.272705078
98,107.751591808,418.262817383
99,108.404711316,418.265319824
100,108.752918274,418.256500244
101,109.40819918,418.257507324
102,109.749921622,418.251800537
103,110.407877214,418.251953125
104,110.74434509,418.246337891
105,111.406042866,418.246551514
106,111.737533083,418.242340088
107,112.400682805,418.239013672
108,112.727734978,418.236816406
109,113.393799076,418.232666016
110,113.716663532,418.235290527
111,114.38597439,418.231079102
112,114.703485809,418.232818604
113,115.017809867,418.234039307
114,115.68646449,418.231628418
115,115.99745562,418.232849121
116,116.668447681,418.230438232
117,116.975657963,418.229888916
118,117.648703846,418.227752686
119,117.95284801,418.226806641
120,118.627190088,418.227783203
121,118.928742085,418.226837158
122,119.604921575,418.227813721
123,119.903410585,418.227752686
124,120.580989084,418.222564697
125,120.877363054,418.222503662
126,121.555914825,418.193328857
127,121.850418008,418.193389893
128,122.530275966,418.164093018
129,122.822811331,418.165588379
130,123.503881017,418.139862061
131,123.794724255,418.141326904
132,124.477019639,418.120666504
133,124.766135482,418.119293213
134,125.449615746,418.098571777
135,125.737002271,418.086456299
136,126.421302083,418.06262207
137,126.707344947,418.050598145
138,127.392467053,418.025146484
139,127.677273584,418.014801025
140,128.36327422,417.989318848
141,129.051772088,417.958068848
142,129.334143834,417.950042725
143,130.024031237,417.917633057
144,130.304569683,417.909667969
145,130.995751003,417.87713623
146,131.274403042,417.867919922
147,131.967683763,417.854400635
148,132.244183636,417.844573975
149,132.94078102,417.818206787
150,133.640627389,417.793762207
151,133.913512956,417.7840271
152,134.61588358,417.76651001
153,134.886387809,417.754516602
154,135.590767428,417.736968994
155,136.300064433,417.724853516
156,136.565363091,417.712646484
157,137.278127835,417.710113525
158,137.539781916,417.698120117
159,138.255165918,417.695739746
160,138.977092585,417.686676025
161,139.232272311,417.682617188
162,139.957668315,417.670196533
163,140.208971254,417.662658691
164,140.937437431,417.650238037
165,141.675568295,417.613647461
166,141.918459317,417.607116699
167,142.660477664,417.569610596
168,143.411997947,417.521514893
169,143.645628257,417.51763916
170,144.404774925,417.441894531
171,144.631711577,417.438079834
172,145.395783495,417.361297607
173,146.172116701,417.274627686
174,146.386795129,417.272674561
175,147.170010889,417.177215576
176,147.965267526,417.080291748
177,148.166641621,417.081085205
178,148.969555538,416.988525391
179,149.162599075,416.989196777
180,149.972179146,416.896575928
181,150.157120524,416.895294189
182,150.973756812,416.807647705
183,151.807598891,416.74697876
184,151.976157421,416.744873047
185,152.81719747,416.683197021
186,152.97615585,416.681152344
187,153.826197666,416.623779297
188,154.69396878,416.56942749
189,154.835068998,416.56262207
190,155.71089069,416.507598877
191,155.841269858,416.501159668
192,155.970236815,416.492950439
193,156.097961677,416.479949951
194,163.360331963,415.304473877
195,163.398433603,415.300445557
196,163.436046186,415.296051025
197,163.47309771,415.291351318
198,163.509458807,415.286743164
199,165.807810023,414.980224609
200,165.817877245,414.979003906
201,165.82775367,414.977844238
202,166.684034815,414.863372803
203,168.151493295,414.677215576
204,170.394380654,414.402862549
205,170.481253159,414.398376465
206,172.67355637,414.166015625
207,172.811354735,414.1590271
208,174.958138886,413.934082031
209,175.14659782,413.91885376
210,177.245777802,413.75491333
211,177.483464296,413.729553223
212,179.533626396,413.687255859
213,179.817882663,413.656494141
214,181.826614789,413.611572266
215,182.155733824,413.577362061
216,184.120213991,413.506408691
217,184.492302593,413.467895508
218,186.412733954,413.360534668
219,188.26899741,413.256774902
220,188.709651748,413.210235596
221,190.530209369,413.05178833
222,191.01023315,413.012359619
223,192.795485903,412.812133789
224,193.314569268,412.776428223
225,195.065112049,412.581420898
226,195.623210247,412.543334961
227,197.335057904,412.363739014
228,197.928253537,412.315673828
229,199.606019614,412.141296387
230,200.232533787,412.08404541
231,201.880244704,411.911529541
232,202.540634435,411.851287842
233,204.158168164,411.719238281
234,205.731041571,411.610687256
235,206.436713163,411.550933838
236,207.98219246,411.443878174
237,208.716025282,411.385559082
238,210.234557661,411.260284424
239,210.996206947,411.199768066
240,212.489193267,411.061096191
241,213.277469453,411.015380859
242,214.746744376,410.879608154
243,215.561422702,410.846038818
244,217.003513821,410.723144531
245,217.84103149,410.688934326
246,219.259963635,410.575683594
247,220.118605192,410.537353516
248,221.519216803,410.426025391
249,222.896737533,410.345367432
250,223.780963331,410.30682373
251,225.139888896,410.249450684
252,226.045159193,410.209991455
253,227.385504694,410.153381348
254,228.310667189,410.108856201
255,229.633065112,410.049224854
256,230.577899146,409.999206543
257,231.881802598,409.9453125
258,232.847583291,409.894104004
259,234.132997309,409.840789795
260,235.119555638,409.793579102
261,236.385849847,409.735443115
262,237.391806043,409.694885254
263,238.64008635,409.631835938
264,239.664250932,409.590576172
265,240.896478018,409.528442383
266,241.938919955,409.489868164
267,243.154978201,409.434906006
268,244.215881897,409.412078857
269,245.415653801,409.366882324
270,246.494805841,409.34375
271,247.678491678,409.299316406
272,248.775919313,409.275939941
273,249.943527429,409.235870361
274,251.060734505,409.211486816
275,252.211647088,409.18939209
276,253.345268677,409.167633057
277,254.481937353,409.131317139
278,255.598665946,409.109771729
279,256.754542086,409.072753906
280,257.854442909,409.049713135
281,259.030863582,409.031768799
282,260.112449465,408.993835449
283,261.309671039,408.982330322
284,262.372952006,408.945281982
285,263.590989299,408.933868408
286,264.636088427,408.914855957
287,265.875419254,408.914245605
288,266.901810008,408.9012146
289,268.162608496,408.906738281
290,269.170069349,408.894134521
291,270.452363173,408.899932861
292,271.440873931,408.896209717
293,272.744878591,408.920379639
294,273.714291403,408.921417236
295,275.040145209,408.961853027
296,275.990328749,408.963134766
297,277.338018597,409.004547119
298,278.268992759,409.018737793
299,279.638273691,409.076477051
300,280.549090477,409.101013184
301,281.941500537,409.174102783
302,282.831219297,409.198303223
303,284.247559753,409.273010254
304,285.114993419,409.308288574
305,286.556709332,409.391723633
306,287.401420969,409.435882568
307,288.869852672,409.531219482
308,289.691443282,409.574310303
309,291.186197583,409.671539307
310,291.984817916,409.717437744
311,293.506424209,409.842559814
312,294.281809747,409.892578125
313,295.831066487,410.077392578
314,296.582350148,410.126342773
315,298.159005153,410.315307617
316,298.886209668,410.375244141
317,300.490168493,410.603942871
318,301.193360699,410.687561035
319,302.824523349,410.98348999
320,303.503515128,411.064758301
321,305.161509444,411.371765137
322,305.815993171,411.464752197
323,307.497687728,411.815948486
324,308.128425518,411.9296875
325,308.745037708,412.043609619
326,310.440797417,412.440612793
327,311.034669616,412.565429688
328,312.754674054,412.968475342
329,313.326750447,413.102600098
330,315.07053344,413.495056152
331,315.621676461,413.624237061
332,317.389319535,413.998840332
333,317.919472382,414.11819458
334,319.710978604,414.497619629
335,320.220110118,414.605682373
336,322.032313623,414.957092285
337,322.521899656,415.060943604
338,324.350635157,415.360443115
339,324.822815968,415.45211792
340,325.286574866,415.528533936
341,327.125127755,415.829223633
342,327.573247976,415.903015137
343,329.4285212,416.190765381
344,329.861732242,416.258514404
345,331.731721556,416.520812988
346,332.151543782,416.580322266
347,334.032588222,416.84197998
348,334.437210484,416.898681641
349,336.333749912,417.146636963
350,336.724161681,417.1980896
351,338.636561555,417.412231445
352,339.012981268,417.45489502
353,340.941260235,417.670806885
354,341.303718561,417.711883545
355,343.247535759,417.893310547
356,343.596203974,417.926422119
357,345.554853799,418.028747559
358,345.890168039,418.04699707
359,347.863846944,418.150085449
360,348.185940852,418.167602539
361,348.503825604,418.178436279
362,350.483568639,418.240936279
363,350.788357714,418.237609863
364,352.783123251,418.209564209
365,353.074705082,418.206359863
