Index,X,Graphic Profile 1
0,0,429
1,35.0558359632,416.292877197
2,38.3237866025,415.312744141
3,42.0401448519,414.026184082
4,42.3974615483,413.895233154
5,75.009058162,411.709503174
6,87.5879705254,410.952636719
7,110.666668328,409.721801758
8,111.284394847,409.646911621
9,112.764796682,409.472900391
10,113.388338272,409.39730835
11,114.863316356,409.223937988
12,115.492674657,409.147613525
13,116.962227348,408.974884033
14,117.596982963,408.954620361
15,119.059046332,408.906707764
16,119.700812677,408.888549805
17,121.156461426,408.846038818
18,122.606028324,408.812835693
19,123.256637523,408.797607422
20,123.908536027,408.79977417
21,125.344927022,408.803405762
22,126.00804616,408.806182861
23,127.433601906,408.810882568
24,128.108200117,408.813690186
25,129.523031818,408.818359375
26,130.209734146,408.813598633
27,131.617056,408.804046631
28,132.3132024,408.80078125
29,133.712483703,408.79574585
30,134.417400718,408.792449951
31,135.808489101,408.787414551
32,136.522259343,408.786224365
33,137.905506065,408.78515625
34,138.627829935,408.783966064
35,140.003098033,408.78302002
36,140.733979977,408.779724121
37,142.10134836,408.773651123
38,142.840595879,408.769989014
39,144.199542865,408.762237549
40,145.548062332,408.754608154
41,146.298297888,408.750946045
42,147.638626898,408.743347168
43,148.397635722,408.739624023
44,149.162933609,408.754089355
45,150.494437075,408.776519775
46,151.270600538,408.789428711
47,152.591136775,408.807403564
48,153.37909178,408.819915771
49,154.688462484,408.836425781
50,155.487559366,408.844116211
51,156.780430571,408.852783203
52,157.595699928,408.860595703
53,158.873351905,408.869049072
54,159.704922888,408.876403809
55,160.967281102,408.883575439
56,161.814579947,408.880462646
57,163.056142076,408.87109375
58,163.924584987,408.867492676
59,165.146034073,408.857666016
60,166.0359772,408.854003906
61,166.94644852,408.854675293
62,168.148005761,408.845184326
63,169.083362136,408.846099854
64,170.260739775,408.842285156
65,171.224559882,408.85269165
66,172.375403737,408.849304199
67,173.367583478,408.868225098
68,174.492130361,408.878601074
69,175.512835781,408.898223877
70,176.610787702,408.916778564
71,177.658323306,408.925964355
72,178.731566544,408.944030762
73,179.78071573,408.951263428
74,180.854569329,408.946624756
75,181.885610955,408.941223145
76,182.979437986,408.93939209
77,183.991596138,408.93762207
78,184.994313107,408.939575195
79,186.10832823,408.942138672
80,187.104121656,408.945526123
81,188.229269179,408.949798584
82,189.218278244,408.953155518
83,190.226395812,408.959350586
84,191.349546779,408.963592529
85,192.359897212,408.97052002
86,193.381758976,408.977355957
87,194.523200042,408.984710693
88,195.543698641,408.973937988
89,196.676060591,408.981689453
90,197.705513263,408.970794678
