Index,X,Graphic Profile 1
0,0,429
1,0.961780848309,428.678344727
2,1.92425266505,428.35647583
3,2.14094631516,428.282897949
4,3.10379228494,427.960876465
5,3.32008959372,427.887420654
6,4.28330980537,427.5652771
7,4.49921068036,427.491943359
8,5.46280525349,427.16973877
9,5.67830960585,427.0965271
10,6.6422786675,426.774139404
11,6.85738628262,426.701080322
12,7.82172995491,426.378601074
13,8.03644074899,426.305664063
14,9.00115916259,425.983032227
15,9.21547296665,425.910247803
16,10.1805662227,425.587524414
17,10.3944829442,425.514892578
18,11.3599512018,425.192016602
19,11.5734706756,425.119476318
20,12.5393140087,424.796478271
21,12.7524360745,424.724121094
22,13.7186547026,424.401000977
23,13.9313792444,424.328765869
24,14.8979732218,424.005523682
25,15.1103001138,423.933410645
26,16.0772695873,423.610046387
27,16.289198658,423.53805542
28,17.2565437398,423.214599609
29,17.4680748759,423.14276123
30,18.4357957004,422.819152832
31,18.6469287933,422.747436523
32,19.615025453,422.423706055
33,19.8257603621,422.352111816
34,20.7942330038,422.028289795
35,21.0045695787,421.956848145
36,21.9734183416,421.632873535
37,22.1833564146,421.561584473
38,23.1525813815,421.237457275
39,23.362120876,421.166290283
40,24.3317222195,420.842071533
41,24.5408629457,420.771026611
42,25.5108407706,420.446685791
43,25.719582615,420.375793457
44,26.6899370483,420.051330566
45,26.8982798753,419.980560303
46,27.8690110133,419.655944824
47,28.076954697,419.585327148
48,29.0480627049,419.260620117
49,29.2556070912,419.190155029
50,30.2270920886,418.86529541
51,31.1992782211,418.54019165
52,31.4060991447,418.469970703
53,32.3786627661,418.144775391
54,32.5850838682,418.074676514
55,33.5580251143,417.749328613
56,33.7640462259,417.679351807
57,34.7373652137,417.353912354
58,34.9429862276,417.284057617
59,37.244500838,416.598510742
60,38.1786009393,416.286071777
61,39.1134967175,415.973297119
62,40.0491892037,415.66027832
63,40.3149292259,415.598602295
64,40.5922555414,415.534240723
65,40.8819429006,415.46697998
66,41.8810427844,415.169647217
67,42.1929248846,415.097686768
68,42.4991819518,415.044219971
69,42.8091075624,414.994110107
70,43.1266229272,414.942749023
71,44.3604401574,414.654724121
72,44.7238418298,414.596343994
73,45.8922901696,414.326416016
74,49.6086057581,413.446655273
75,50.0839105177,413.400115967
76,50.8781189166,413.213775635
77,53.0741891466,412.788696289
78,53.7682747325,412.674102783
79,54.2774219807,412.652618408
80,54.9630669076,412.540161133
81,55.6367765077,412.467834473
82,56.1569795795,412.447692871
83,56.8234940586,412.409484863
84,57.3500006577,412.389892578
85,58.0117487692,412.35546875
86,58.5442501269,412.335754395
87,59.2008422568,412.303619385
88,59.8510898682,412.271820068
89,60.4982408845,412.240356445
90,61.1428128007,412.209014893
91,61.6816912909,412.189300537
92,62.3238192874,412.158081055
93,62.8652851392,412.138305664
94,63.5049675375,412.107208252
95,64.0490225587,412.087341309
96,64.6889140955,412.059112549
97,65.3301637356,412.031982422
98,65.8741001078,412.012115479
99,66.5144548997,411.985046387
100,67.0617044503,411.966674805
101,67.7021330053,411.939575195
102,68.2503476552,411.921875
103,68.8912807045,411.894744873
104,69.5355124505,411.884796143
105,70.0824292784,411.867095947
106,70.7281510093,411.859863281
107,71.2738378194,411.842224121
108,71.9207327508,411.834564209
109,72.4651794405,411.816955566
110,73.1132570041,411.808929443
111,73.6582030924,411.80657959
112,74.3079845272,411.798522949
113,74.9668530771,411.81729126
114,75.5086340324,411.817352295
115,76.1712389138,411.838653564
116,76.7096561801,411.838500977
117,77.3755161684,411.860015869
118,77.910551315,411.859802246
119,78.579683345,411.881500244
120,79.1113186294,411.881256104
121,79.7837374061,411.903167725
122,80.4688975975,411.919403076
123,81.1700318189,411.934051514
124,81.6977626285,411.956298828
125,82.4059457592,411.970977783
126,82.9271293074,411.994812012
127,83.6425044527,412.009490967
128,84.1563879457,412.032928467
129,84.8790034949,412.047607422
130,85.3855374123,412.070678711
131,86.1154422963,412.085418701
132,86.6145766628,412.108093262
133,87.3565493693,412.092132568
134,88.121375123,412.017547607
135,88.6132365925,412.034515381
136,89.3889073987,411.957824707
137,90.1809362069,411.880004883
138,90.6634498898,411.892456055
139,91.4679009432,411.813110352
140,91.9380640588,411.824768066
141,92.7547159199,411.743133545
142,93.2124666462,411.75402832
143,94.0488637927,411.689666748
144,94.4932605916,411.699859619
145,95.3457808531,411.64050293
146,95.7764078512,411.650085449
147,96.6428657239,411.588806152
148,97.5307463978,411.525970459
149,97.9435826603,411.516906738
150,98.8462834823,411.452484131
151,99.250482572,411.411834717
152,100.16868124,411.34664917
153,100.556810095,411.307739258
154,101.481019926,411.278076172
155,101.854156828,411.24105835
156,102.791860646,411.212554932
157,103.15013912,411.177429199
158,104.101480889,411.148803711
159,104.444909725,411.115386963
160,105.410252085,411.087097168
161,105.741815367,411.063293457
162,106.721400712,411.035064697
163,107.038593512,411.015197754
164,108.031201044,410.981140137
165,108.333044013,410.962371826
166,109.332993418,410.897125244
167,109.620333615,410.879241943
168,110.633367296,410.813110352
169,110.906304518,410.796112061
170,111.932334819,410.729095459
171,112.190967779,410.712982178
172,113.229907915,410.645080566
173,113.47216404,410.639526367
174,114.523761277,410.570373535
175,114.752237281,410.5652771
176,115.816428303,410.494781494
177,116.031273383,410.489868164
178,116.241307305,410.485046387
179,116.446689979,410.48034668
180,116.647432374,410.474487305
181,123.250441827,409.860961914
182,123.410187967,409.85067749
183,123.56665464,409.840606689
184,123.719941805,409.830718994
185,123.870145441,409.821075439
186,124.618034883,409.79574585
187,125.371927419,409.770202637
188,125.511839779,409.761230469
189,126.26802284,409.735778809
190,126.401433935,409.727264404
191,127.159863114,409.701843262
192,127.924330218,409.676239014
193,128.694907648,409.650421143
194,129.471668889,409.624389648
195,130.121622163,409.568572998
196,130.880229103,409.544586182
197,131.644719967,409.52041626
198,132.413733797,409.507965088
199,133.187475349,409.498260498
200,133.247111914,409.496398926
201,134.023621491,409.491729736
202,134.080491491,409.489990234
203,134.859708962,409.485412598
204,134.913816938,409.483734131
205,135.695737934,409.479187012
206,135.747088361,409.477600098
207,136.531708529,409.473114014
208,136.580305902,409.471618652
209,137.367620878,409.467163086
210,137.413469634,409.465759277
211,138.203475104,409.461364746
212,138.246579752,409.46005249
213,139.039271378,409.455718994
214,139.07963633,409.454498291
215,139.8750939,409.446411133
216,139.912703411,409.445281982
217,140.711073138,409.42755127
218,140.745813905,409.427062988
219,141.54691518,409.40927124
220,141.578869182,409.408935547
221,142.382877692,409.389862061
222,142.412024202,409.38961792
