Index,X,Graphic Profile 1
0,0,429
1,1.43156319079,428.545623779
2,5.46796737025,427.276489258
3,7.15793986234,426.739868164
4,10.935435554,425.551605225
5,12.8844593816,424.932434082
6,16.4024026471,423.825317383
7,18.611122382,423.123352051
8,21.8688668811,422.097686768
9,24.3379293859,421.312591553
10,27.3348263472,420.368621826
11,30.2442629579,419.580078125
12,32.8120278989,418.883392334
13,35.2609329269,418.422149658
14,38.223388449,417.85559082
15,40.7757332599,417.303771973
16,43.6624414593,416.673583984
17,46.7187641888,415.84387207
18,49.1182258871,415.191131592
19,52.5505692547,414.328338623
20,54.5953638227,413.815155029
21,58.6208359652,413.030792236
22,60.0796938242,412.747253418
23,64.8052936103,412.189056396
24,65.5678129379,412.100280762
25,71.0006840972,411.801513672
26,71.0544153691,411.798583984
27,71.476965366,411.792510986
28,76.5394394313,411.719390869
29,77.1646019415,411.758911133
30,82.0227068596,412.065368652
31,83.3230579307,412.288116455
32,87.5037011545,413.010955811
33,89.4604619373,413.498382568
34,92.9817075591,414.362335205
35,95.5276238201,414.693511963
36,98.4545890496,415.071289063
37,101.497478119,415.273895264
38,103.924123587,415.427520752
39,107.389967776,415.451599121
40,109.390281954,415.464813232
41,113.203094416,415.19543457
42,114.852853094,415.080078125
43,118.955618851,414.601867676
44,120.312767397,414.445007324
45,124.63817965,413.674591064
46,125.769074015,413.475799561
47,130.273828593,412.51449585
48,131.223328024,412.315979004
49,135.892780951,411.277191162
50,136.676113487,411.105895996
51,141.5144868,410.02130127
52,142.127496115,409.885070801
53,147.126554806,408.912963867
54,147.577648383,408.825073242
55,152.731100639,407.892333984
56,153.026970036,407.838195801
57,158.326913513,406.9949646
58,158.475249264,406.970611572
59,163.902138982,406.302124023
60,163.922489387,406.299530029
61,164.907575637,406.198699951
62,169.368827251,405.742340088
63,169.460114644,405.734802246
64,174.814213012,405.273864746
65,175.013174143,405.255096436
66,180.258003255,404.751159668
67,180.523608272,404.7215271
68,185.700490712,404.143493652
69,185.993848772,404.1199646
70,191.142016827,403.690765381
71,191.458379599,403.667388916
72,196.583336316,403.270385742
73,196.923249723,403.246032715
74,202.024483192,402.8621521
75,202.389168209,402.839447021
76,207.465003974,402.504638672
77,207.85430457,402.480224609
78,212.90582231,402.140777588
79,213.333372659,402.111572266
80,218.346981354,401.746582031
81,218.829100299,401.703186035
82,223.787374602,401.260223389
83,224.280469165,401.200012207
84,229.22747143,400.59954834
85,229.706161697,400.512878418
86,234.667824774,399.627868652
87,235.144445402,399.575500488
88,240.107953793,399.050415039
89,240.56611516,399.029449463
90,245.548024094,398.806915283
91,245.97981949,398.773925781
92,250.988743078,398.422637939
93,251.454850659,398.391418457
94,256.42963043,398.089935303
95,256.941417634,398.061859131
96,261.870573566,397.818359375
97,262.439737325,397.797058105
98,267.311686063,397.61151123
99,267.959546151,397.593017578
100,272.752713782,397.456207275
101,273.501219273,397.437103271
102,278.193633106,397.320831299
103,279.083825967,397.27746582
104,283.634709924,397.075622559
105,284.744559087,397.015350342
106,289.0755771,396.797454834
