Index,X,Graphic Profile 1
0,0,429
1,91.0933821414,418.2918396
2,92.6265339651,417.880767822
3,96.9336846083,417.901123047
4,98.6135992188,417.901489258
5,100.177527087,417.906555176
6,104.624039907,417.944915771
7,110.669702504,418.001617432
8,110.683216795,418.001525879
9,110.702183157,418.001342773
10,116.779849942,417.948608398
11,121.152483523,417.901397705
12,122.93055977,417.862670898
13,125.501750847,417.799255371
14,129.118964656,417.714324951
15,131.63500074,417.648010254
16,135.356344219,417.543640137
17,140.902166675,417.358062744
18,141.629314189,417.335327148
19,142.118383513,417.317382813
20,147.957071135,417.072937012
21,152.600235737,416.850585938
22,154.330735496,416.767242432
23,157.072259954,416.618133545
24,160.782483697,416.425262451
25,163.124486351,416.288879395
26,167.273320761,416.004852295
27,173.628658808,415.532745361
28,173.791467428,415.523406982
29,174.063427516,415.506713867
30,180.340681396,415.130767822
31,184.088294441,414.890991211
32,186.867403315,414.795501709
33,191.409825903,414.633666992
34,193.345417026,414.561523438
35,195.279329241,414.644042969
36,198.309071016,414.888183594
37,207.393615675,415.647583008
38,213.693229202,416.107757568
39,220.55186426,416.357543945
40,222.949222216,416.252929688
41,226.439767706,416.018035889
42,230.027515959,415.798553467
43,232.433843717,415.582458496
44,241.010975086,414.497375488
45,244.792197375,414.012420654
46,252.223574845,413.024597168
47,257.893856948,412.339508057
48,261.760844456,412.078094482
49,268.345994452,411.750305176
50,270.210900109,411.646087646
51,271.295929599,411.60836792
52,277.24957516,411.436248779
53,283.238461164,411.201843262
54,283.959179112,411.175994873
55,284.666907635,411.147796631
56,290.04611314,410.917541504
57,294.167157709,410.75100708
58,295.942423657,410.674285889
59,298.201596574,410.579223633
60,301.360033345,410.454467773
61,303.539538149,410.407867432
62,306.87602905,410.293334961
63,312.483105965,410.228149414
64,313.287147501,410.216949463
65,319.794219,410.165710449
66,326.354975644,410.077056885
67,326.52615618,410.075164795
68,326.678978008,410.070739746
69,336.614967876,409.259674072
70,339.267529767,409.031341553
71,345.270790897,408.039276123
72,347.098511209,407.747650146
73,347.919350027,407.688903809
74,348.186719784,407.672912598
75,350.329321446,407.525756836
76,351.403582061,407.464904785
77,352.663284537,407.382141113
78,354.552258981,407.281799316
79,354.91778618,407.258972168
80,355.807990246,407.215118408
81,357.360809045,407.134765625
82,358.404957628,407.076812744
83,359.950223435,406.994506836
84,362.23055753,406.865142822
85,362.49143699,406.855560303
86,362.629273709,406.853057861
87,364.820600546,406.786895752
88,366.171381355,406.770874023
89,367.134282073,406.747833252
90,368.982298439,406.737518311
91,369.399090681,406.741027832
92,369.576786637,406.74118042
93,371.511564588,406.75302124
94,372.583142806,406.75177002
95,373.61357133,406.757141113
96,375.55854611,406.749603271
97,375.705231915,406.750030518
98,376.056066967,406.74810791
99,378.240142248,406.736419678
100,379.43961537,406.723327637
