Index,X,Graphic Profile 1
0,0,429
1,27.3719774074,424.951568604
2,35.9766216816,423.977142334
3,37.577799231,423.887573242
4,40.1354398148,423.832275391
5,48.9953268738,422.640716553
6,57.1394800204,421.742431641
7,57.4605276225,421.708740234
8,57.468702541,421.70803833
9,80.2749286073,419.374023438
10,80.3376218295,419.369873047
11,80.4006418439,419.365722656
12,80.4630020079,419.355316162
13,80.5895659855,419.33581543
14,81.2515970653,419.271362305
15,81.3078438495,419.264892578
16,84.6882311977,418.935760498
17,85.0902280345,418.897094727
18,85.5473777769,418.851654053
19,86.555244358,418.751068115
20,86.8656891426,418.724273682
21,87.9860879412,418.61340332
22,89.0031874772,418.512786865
23,89.9306442338,418.421020508
24,90.7798091592,418.336975098
25,91.5601943279,418.259796143
26,92.2791273072,418.194946289
27,92.9427581392,418.156921387
28,93.559906203,418.121582031
29,95.0093440093,418.015197754
30,95.6090319002,417.979431152
31,96.1622037252,417.945007324
32,96.6740366144,417.912475586
33,97.1489817457,417.882324219
34,97.5908881936,417.854248047
35,98.003106076,417.827819824
36,106.992961579,416.353179932
37,107.020833329,416.349609375
38,107.044596198,416.3465271
39,107.065096409,416.34387207
40,107.082925894,416.34161377
41,107.098303528,416.339904785
42,107.112062745,416.338378906
43,107.12444628,416.337005615
44,107.135650609,416.335784912
45,107.449605896,416.17364502
46,107.576267959,416.196746826
47,112.850153425,414.416442871
48,112.93646223,414.40802002
49,113.024906128,414.401397705
50,113.114208915,414.394714355
51,113.204397411,414.387969971
52,117.222921054,413.559539795
53,117.406025857,413.546234131
54,121.175883502,412.750213623
55,121.414609326,412.733428955
56,121.655421038,412.716491699
57,121.89834606,412.699401855
58,122.143412363,412.682189941
59,122.390648374,412.664794922
60,122.640127176,412.646789551
61,122.891945048,412.627624512
62,123.146050038,412.608276367
63,123.402473538,412.588775635
64,123.661247411,412.569061279
65,123.922404048,412.549194336
66,124.185976595,412.52911377
67,124.451998686,412.508880615
68,124.72050466,412.488433838
69,152.130341861,410.612091064
70,152.496445036,410.583831787
71,152.865652578,410.555603027
72,153.238433003,410.52835083
73,153.614090387,410.50088501
74,153.992658175,410.473205566
75,154.374170333,410.445343018
76,154.758661331,410.417236328
77,155.146166184,410.388916016
78,155.536720516,410.360351563
79,155.93036041,410.331573486
80,156.327122649,410.302581787
81,161.259290646,410.500488281
82,161.905866544,410.522705078
83,162.530100923,410.544158936
84,168.873913172,410.832458496
85,169.379015618,410.850616455
86,169.876018059,410.87097168
87,170.351515857,410.890686035
88,176.995657727,411.001556396
89,177.360023962,411.016052246
90,177.70551533,411.026489258
91,178.03322045,411.030883789
92,178.347350102,411.034118652
93,178.64908323,411.035736084
94,178.938646104,411.025115967
95,186.794747113,410.808074951
96,186.996491793,410.800994873
97,187.193069402,410.794219971
98,187.384427508,410.78793335
99,196.918288758,410.541229248
100,199.524558798,410.481231689
101,199.553125948,410.480407715
102,199.582194628,410.479827881
103,199.611691318,410.479400635
104,199.641715775,410.478973389
105,199.672260412,410.478515625
106,199.703239297,410.478057861
107,199.734749471,410.477600098
108,206.594319718,410.392181396
109,206.685579377,410.391082764
110,206.776589889,410.390472412
111,206.868304964,410.389801025
112,206.960689668,410.389160156
113,215.55618657,410.357910156
114,215.677444435,410.357055664
115,215.799554231,410.356323242
116,215.922371258,410.356140137
117,216.045873022,410.355957031
118,216.170065236,410.355804443
119,223.057036812,410.722167969
120,223.181608687,410.727294922
121,223.306261419,410.733154297
122,223.430836645,410.739013672
123,223.555353855,410.744903564
124,223.679921122,410.750854492
125,223.804548283,410.756835938
126,223.929235361,410.7628479
127,224.055218449,410.772674561
128,230.807395693,411.39440918
129,230.94781026,411.405975342
130,237.275895344,411.89932251
131,240.92591395,412.242858887
132,245.035374201,412.644348145
133,245.519272722,412.689361572
134,245.989771404,412.733154297
135,246.447419186,412.775756836
136,246.892735508,412.817199707
137,247.326212146,412.857543945
138,247.748315029,412.896850586
139,248.15948609,412.935119629
140,248.566809744,412.969604492
141,248.999702352,412.992980957
142,253.321130971,413.239471436
143,253.739243791,413.261962891
144,254.163050262,413.284759521
145,254.592315219,413.308288574
146,255.027514435,413.332214355
147,255.468842512,413.35647583
148,255.911735548,413.379516602
149,256.331576995,413.396057129
150,256.738910363,413.412872314
151,262.867099164,413.660186768
152,263.202640039,413.673309326
