Index,X,Graphic Profile 1
0,0,429
1,8.36914333664,425.239624023
2,30.4656073934,414.555023193
3,33.0615796098,414.220336914
4,35.1386646503,413.965820313
5,42.1179705036,413.020507813
6,48.3268189881,411.981750488
7,51.9042505398,412.047302246
8,65.9213889863,412.400939941
9,72.7786463314,412.707336426
10,74.9688240408,412.752929688
11,75.7327835063,412.728302002
12,77.3550921734,412.667022705
13,91.663176082,412.019714355
14,91.8019422365,412.018188477
15,91.9092030307,412.017883301
16,96.5116159434,412.096343994
17,98.44265553,412.225006104
18,103.591732448,412.563446045
19,106.588828596,412.699371338
20,110.533930887,412.960357666
21,113.918290941,412.984222412
22,117.991912241,413.095031738
23,121.903640841,413.100891113
24,125.948786935,413.055938721
25,129.537659265,413.001922607
26,132.688887207,412.970306396
27,136.394415157,412.847808838
28,140.994970791,412.62487793
29,144.882831208,412.429016113
30,149.626238498,412.397186279
31,153.401881671,412.264221191
32,158.009043563,412.213684082
33,160.992012961,412.182128906
34,164.652431557,412.124969482
35,168.533113985,412.028289795
36,173.195469918,412.019744873
37,176.705767032,411.888702393
38,180.98020002,411.754516602
39,185.169547071,411.652954102
40,189.164035117,411.638031006
41,193.3714311,411.812774658
42,197.811495473,412.031616211
43,199.583502226,411.919158936
44,203.380934043,412.077575684
45,206.223711618,412.363647461
46,210.89865541,412.364898682
47,214.920511781,412.24911499
48,219.996082042,412.030334473
49,222.62956494,411.809356689
50,226.722287549,411.386627197
51,234.421073197,410.653411865
52,235.027696268,410.602203369
53,235.674516903,410.585968018
54,236.217286932,410.605377197
55,236.835309723,410.609436035
56,252.980565505,410.457580566
57,258.948326215,410.449371338
58,260.927043621,410.424316406
59,269.521616291,410.233612061
60,270.108928948,410.230255127
61,273.590237613,410.231567383
62,279.452590529,410.23147583
63,285.796506244,410.263671875
64,289.737228966,410.26348877
65,295.844072732,410.261779785
66,297.292748293,410.262786865
67,305.023317444,410.420013428
68,309.838646761,410.256774902
69,314.888398539,410.265014648
70,320.685628643,410.460113525
71,325.629628591,410.843231201
72,327.940890676,410.887817383
73,332.672070605,411.693695068
74,338.561541699,412.518859863
75,346.128441591,414.207702637
76,346.988897009,414.283447266
77,353.183772738,414.814422607
78,353.827617281,414.83895874
79,354.025784729,414.838348389
80,359.462018277,414.586242676
81,366.132433194,413.990600586
82,366.244666267,413.989624023
83,371.974715375,414.214233398
84,372.165158161,414.214569092
85,379.131157889,414.92098999
86,384.689401673,415.776306152
87,387.014836687,415.771179199
88,393.533109038,414.774505615
89,400.055926207,413.100891113
90,404.06337582,412.444610596
91,409.785029194,411.458221436
92,409.901704493,411.452575684
93,416.148781616,410.081939697
94,416.413548198,410.077453613
95,421.584016492,409.755493164
96,422.137008219,409.763824463
97,429.514758895,409.455810547
98,433.516585167,409.632629395
99,434.500646146,409.658172607
100,440.649581308,409.825469971
101,445.411222272,409.707214355
102,449.512911714,409.766265869
103,451.186807109,409.776580811
104,452.987349643,410.022277832
105,454.380911563,410.158294678
106,456.128988572,410.325317383
107,468.320562192,412.03302002
108,470.172367902,412.816070557
109,474.293847815,413.795806885
110,475.579030926,414.893463135
111,478.674028412,415.782653809
112,480.855963936,416.346801758
113,482.121589621,417.067932129
114,485.258232858,417.78414917
115,492.909247219,421.596282959
116,507.498570389,429

